Depot,Borough,Address,Total buses
 Eastchester Depot (EC),Bronx,"3320 Tillotson Av, Bronx, NY 10475",142
 Gun Hill Depot (GH),Bronx,"1910 Bartow Av, Bronx, NY 10469",284
 Kingsbridge Depot (KB),Bronx,"4065 10th Av, New York, NY 10034",272
 West Farms Depot (WF),Bronx,"Bronx Division Headquarters, 1100 E 177th St, Bronx, NY 10460",321
 Yonkers Depot (YO),Bronx,"59 Babcock Pl, Yonkers, NY 10701",84
 Zerega Central Maintenance Facility,Bronx,"MTA Bus Operations, 750-770 Zerega Av, Bronx, NY 10473",2
 Amsterdam Facility (AM),Manhattan,"1381 Amsterdam Av, New York, NY 10027",27
 Manhattanville Depot (MV),Manhattan,"666 W 133rd St, New York, NY 10027",240
 Michael J. Quill Depot (MQ),Manhattan,"Manhattan Headquarters, 525 11th Av, New York, NY 10018",298
 Mother Clara Hale Depot (OF),Manhattan,"721 Lenox Av, New York, NY 10039",137
 Tuskegee Airmen Depot (OH),Manhattan,"1552 Lexington Av, New York, NY 10029",148
 Baisley Park Depot (BP),Queens,"114-15 Brewer Bl, Jamaica, NY 11434",116
 Casey Stengel Depot (CS),Queens,"123-53 Roosevelt Av, Corona, NY 11368",231
 College Point Depot (CP),Queens,"128-15 28th Av, Flushing, NY 11354",330
 Far Rockaway Depot (FR),Queens,"49-19 Rockaway Bch Bl, Far Rockaway, NY 11691",45
 Jamaica Depot (JA),Queens,"165-18 Tuskegee Airmen Way Jamaica, NY 11433",202
 JFK Depot (JK),Queens,"Queens South Headquarters, 165-25 147th Av, Jamaica, NY 11434",243
 LaGuardia Depot (LG),Queens,"85-01 24th Av, East Elmhurst, NY 11370",254
 Queens Village Depot (QV),Queens,"Queens North Headquarters, 222-22 97th Avenue, Queens Village, NY 11429",284
 Spring Creek Depot (SC),Queens,"12755 Flatlands Av, Brooklyn, NY 11208",126
 East New York Depot & CMF (EN),Brooklyn,"Central Maintenance Facility, MTA Bus Operations Headquarters, 1 Jamaica Av, Brooklyn, NY 11207",242
 Flatbush Depot (FB),Brooklyn,"4901 Fillmore Av, Brooklyn, NY 11234",239
 Fresh Pond Depot (FP),Brooklyn,"Brooklyn Headquarters, 66-99 Fresh Pond Rd, Ridgewood, NY 11385",224
 Grand Avenue Depot & CMF (GA),Brooklyn,"Central Maintenance Facility, 48-05 Grand Av, Maspeth, NY 11378",185
 Jackie Gleason Depot (JG),Brooklyn,"845 5th Av, Brooklyn, NY 11232",302
 Ulmer Park Depot (UP),Brooklyn,"2449 Harway Av, Brooklyn, NY 11214",251
 Castleton Depot (CA),Staten Island,"1390 Castleton Avenue, Staten Island, NY 10310",230
 Charleston Depot (CH),Staten Island,"4700 Arthur Kill Road, Staten Island, NY 10309",203
 Meredith Avenue Depot (MA),Staten Island,"336 Meredith Avenue, Staten Island, NY 10314",74
 Yukon Depot (YU),Staten Island,"Staten Island Headquarters, 40 Yukon Avenue, Staten Island, NY 10314",265
