"Route","Average Weekday Ridership, 2011","Average Weekday Ridership, 2016","Ridership Change, 2011-2016","On-Time Performance 2016","Wait Assessment 2016","Average Speed (mph)","Length of Route (in miles)","Frequency during AM Rush, Buses per Hour (7:30am to 8:30am)","Frequency in the Evening, Buses per Hour (8:30pm to 10:30pm)","# of Stops along Route","Average Distance Between Stops (in feet)","# of Turns along Route","Bus Stops within .1 Miles of a Subway Station","# of Subway lines that intersect the Route","Borough","MTA Service Standard: Minimum Desired Distance Between Stops (750 feet)","","","","","","","","","",""
"BX1","38,891","36,487","-6%","69%","85%","7","8.8","7","4","47","1,021","10","19","7","Bronx","750","","","","","","","","","",""
"BX2","38,891","36,487","-6%","60%","75%","6","8.0","7","3","50","871","6","18","7","Bronx","750","","","","","","","","","",""
"BX3","15,800","14,921","-6%","65%","79%","7","4.5","11","7","28","884","10","3","1","Bronx","750","","","","","","","","","",""
"BX4","12,141","11,411","-6%","63%","79%","6","4.7","5","3","32","799","3","16","3","Bronx","750","","","","","","","","","",""
"BX4A","12,141","11,411","-6%","59%","77%","6","4.9","6","3","35","779","7","13","3","Bronx","750","","","","","","","","","",""
"BX5","12,186","11,194","-8%","69%","82%","8","7.7","10","6","36","1,173","9","4","3","Bronx","750","","","","","","","","","",""
"BX6","22,146","23,800","7%","66%","81%","6","5.8","17","9","32","997","14","6","6","Bronx","750","","","","","","","","","",""
"BX7","14,771","13,720","-7%","72%","82%","7","6.0","10","5","43","762","6","8","3","Bronx","750","","","","","","","","","",""
"BX8","6,763","7,282","8%","69%","82%","8","8.7","8","2","55","858","29","4","3","Bronx","750","","","","","","","","","",""
"BX9","26,868","27,175","1%","67%","81%","6","6.4","15","8","37","956","6","9","6","Bronx","750","","","","","","","","","",""
"BX10","10,500","11,266","7%","72%","84%","8","7.4","13","5","41","995","14","5","3","Bronx","750","","","","","","","","","",""
"BX11","13,312","14,269","7%","61%","78%","5","4.9","13","4","35","767","14","6","4","Bronx","750","","","","","","","","","",""
"BX12","45,436","48,124","6%","66%","82%","7","8.1","8","6","32","1,396","5","6","8","Bronx","750","","","","","","","","","",""
"BX12 SBS","45,436","48,124","6%","70%","83%","10","7.6","15","6","16","2,664","12","5","6","Bronx","750","","","","","","","","","",""
"BX13","10,437","12,094","16%","69%","83%","6","4.1","15","8","26","874","8","2","1","Bronx","750","","","","","","","","","",""
