,3 AV/E 45 ST,LEXINGTON AV/E 110 ST,3 AV/E 47 ST,LEXINGTON AV/E 96 ST,3 AV/E 63 ST,3 AV/E 21 ST,LEXINGTON AV/E 74 ST,LEXINGTON AV/E 56 ST,3 AV/E 33 ST,3 AV/E 69 ST,LEXINGTON AV/E 94 ST,BOWERY/KENMARE ST,LEXINGTON AV/E 64 ST,3 AV/E 23 ST,3 AV/E 17 ST,BOWERY/HESTER ST,LEXINGTON AV/E 28 ST,LEXINGTON AV/E 83 ST,BOWERY/E HOUSTON ST,LEXINGTON AV/E 89 ST,LEXINGTON AV/E 49 ST,3 AV/E 67 ST,3 AV/E 99 ST,LEXINGTON AV/E 72 ST,LEXINGTON AV/E 116 ST,LEXINGTON AV/E 77 ST,3 AV/E 75 ST,LEXINGTON AV/E 45 ST,LEXINGTON AV/E 40 ST,3 AV/E 31 ST,3 AV/E 109 ST,3 AV/E 60 ST,3 AV/E 53 ST,3 AV/E 77 ST,3 AV/E 57 ST,3 AV/ASTOR PL,3 AV/E 42 ST,LEXINGTON AV/E 52 ST,LEXINGTON AV/E 47 ST,3 AV/E 97 ST,PARK ROW/ST JAMES PL,PARK ROW/WORTH ST,LEXINGTON AV/E 50 ST,BOWERY/BAYARD ST,3 AV/E 26 ST,3 AV/E 65 ST,E 126 ST/2 AV,3 AV/E 79 ST,LEXINGTON AV/E 70 ST,LEXINGTON AV/E 59 ST,3 AV/E 88 ST,3 AV/E 118 ST,3 AV/E 104 ST,LEXINGTON AV/E 62 ST,BOWERY/E 1 ST,3 AV/E 11 ST,LEXINGTON AV/E 124 ST,3 AV/E 20 ST,3 AV/E 72 ST,3 AV/E 116 ST,EAST 24 ST/LEXINGTON AV,PARK ROW/BEEKMAN ST,3 AV/E 82 ST,LEXINGTON AV/E 104 ST,BOWERY/E 3 ST,3 AV/E 37 ST,COOPER SQ/E 6 ST,BOWERY/CANAL ST,BOWERY/BLEECKER ST,LEXINGTON AV/E 119 ST,3 AV/E 14 ST,LEXINGTON AV/E 79 ST,3 AV/E 93 ST,3 AV/E 9 ST,3 AV/E 50 ST,BOWERY/DELANCEY ST,3 AV/E 91 ST,LEXINGTON AV/E 34 ST,3 AV/E 86 ST,LEXINGTON AV/E 31 ST,3 AV/E 29 ST,BOWERY/PRINCE ST,LEXINGTON AV/E 100 ST,LEXINGTON AV/E 114 ST,BOWERY/GRAND ST,LEXINGTON AV/E 86 ST,LEXINGTON AV/E 122 ST,3 AV /E 125 ST,3 AV/E 122 ST,LEXINGTON AV/E 98 ST,LEXINGTON AV/E 37 ST,LEXINGTON AV/E 26 ST,LEXINGTON AV/E 106 ST,BOWERY/E 4 ST,3 AV/E 102 ST,LEXINGTON AV/E 92 ST,LEXINGTON AV/E 102 ST,3 AV/E 112 ST,3 AV/E 39 ST,LEXINGTON AV/E 42 ST,3 AV/E 106 ST,LEXINGTON AV/E 68 ST,Michael J. Quill Depot (MQ)
3 AV/E 45 ST,,,0.201 EAST HARLEM 125 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 110 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318 CITY HALL via LEX AV,,,,,,,,,,
3 AV/E 47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 EAST HARLEM 125 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 96 ST,,,,,,,,,,,0.183 CITY HALL via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 63 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134 EAST HARLEM 125 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 21 ST,,,,,,,,,,,,,,0.163 EAST HARLEM 125 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 74 ST,,,,,,,,,,,,,,,,,,,,,,,,0.136 CITY HALL via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 56 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 CITY HALL via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 33 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.912 EAST HARLEM 125 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 69 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.161 EAST HARLEM 125 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 94 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 CITY HALL via LEX AV,,,,,,,
BOWERY/KENMARE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 CITY HALL via LEX AV,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 64 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 CITY HALL via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 23 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.033 EAST HARLEM 125 ST via 3 AV,,,,,,,,,,,,,0.671 CITY HALL via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 17 ST,,,,,,1.787 EAST HARLEM 125 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.247 CITY HALL via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOWERY/HESTER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 EAST HARLEM 125 ST via 3 AV,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 28 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115 CITY HALL via LEX AV,,,,,,,,,,,
LEXINGTON AV/E 83 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.439 CITY HALL via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOWERY/E HOUSTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.666 EAST HARLEM 125 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77 CITY HALL via LEX AV,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 CITY HALL via LEX AV,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 49 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.492 CITY HALL via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 67 ST,,,,,,,,,,0.69 EAST HARLEM 125 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 99 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216 EAST HARLEM 125 ST via 3 AV,,,,,,,,
LEXINGTON AV/E 72 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.561 CITY HALL via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 116 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 CITY HALL via LEX AV,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 77 ST,,,,,,,0.285 CITY HALL via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 75 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128 EAST HARLEM 125 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 45 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 CITY HALL via LEX AV,,,
