,BROADWAY/W 68 ST,BROADWAY/W 93 ST,BROADWAY/W 73 ST,BROADWAY/W 106 ST,8 AV/W 52 ST,8 AV/W 49 ST,BROADWAY/W 84 ST,BROADWAY/W 119 ST,BROADWAY/W 108 ST,BROADWAY/W 79 ST,BROADWAY/W 63 ST,BROADWAY/W 77 ST,BROADWAY/W 103 ST,7 AV/W 53 ST,BROADWAY/W 102 ST,CONVENT AV/W 129 ST,BROADWAY/W 82 ST,BROADWAY/W 70 ST,BROADWAY/W 91 ST,BROADWAY/W 90 ST,W 125 ST/OLD BROADWAY,BROADWAY/W 74 ST,BROADWAY/W 61 ST,7 AV/W 44 ST,7 AV/W 41 ST,8 AV/W  56 ST,BROADWAY/W 99 ST,7 AV/W 50 ST,BROADWAY/W 75 ST,W 125 ST/AMSTERDAM AV,BROADWAY/W 97 ST,AMSTERDAM AV/W 129 ST,BROADWAY/W 100 ST,BROADWAY/W 86 ST,BROADWAY/W 76 ST,MORNINGSIDE AV/W 125 ST,BROADWAY/W 114 ST,COLUMBUS CIR/8 AV,7 AV/W 54 ST,BROADWAY/W 120 ST,8 AV/W 43 ST,7 AV/W 56 ST,BROADWAY/W 112 ST,AMSTERDAM AV/W 126 ST,7 AV/W 47 ST,BROADWAY/W 94 ST,BROADWAY/W 104 ST,7 AV/WEST 58 ST,BROADWAY/W 122 ST,BROADWAY/W 92 ST,W 41 ST/8 AV,BROADWAY/WEST 105 ST,BROADWAY/LA SALLE ST,BROADWAY/CATHEDRAL PY,BROADWAY/W 69 ST,BROADWAY/W 101 ST,BROADWAY/W 88 ST,BROADWAY/TIEMANN PL,BROADWAY/W 72 ST,8 AV/W 46 ST,BROADWAY/W 66 ST,BROADWAY/W 65 ST,BROADWAY/W 113 ST,BROADWAY/W 116 ST,Michael J. Quill Depot (MQ)
BROADWAY/W 68 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992 41 ST via BROADWAY/7 AV,,,
BROADWAY/W 93 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 73 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,
8 AV/W 52 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.345 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/W 49 ST,,,,,0.202 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 84 ST,,,,,,,,,,,,,,,,,0.304 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,0.147 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 119 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.561 41 ST via BROADWAY/7 AV,
BROADWAY/W 108 ST,,,,0.339 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,
BROADWAY/W 79 ST,,,,,,,,,,,,,,,,,0.77 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,0.245 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 63 ST,,,,,,,,,,,,,,,,,,,,,,,0.207 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 WEST HARLEM 129 ST via BROADWAY,,,,
BROADWAY/W 77 ST,,,,,,,,,,0.221 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 103 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,
7 AV/W 53 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 102 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONVENT AV/W 129 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 82 ST,,,,,,,0.213 WEST HARLEM 129 ST via BROADWAY,,,0.285 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 70 ST,0.612 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 91 ST,,0.341 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 90 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 41 ST via BROADWAY/7 AV,,,,,,,,
W 125 ST/OLD BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 41 ST via BROADWAY/7 AV,,,,,,,
BROADWAY/W 74 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36 41 ST via BROADWAY/7 AV,,,,,,
BROADWAY/W 61 ST,,,,,,,,,,,0.202 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/W 44 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.213 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/W 41 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,
8 AV/W  56 ST,,,,,,,,,,,,,,,,,,,,,,,0.681 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 99 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,
7 AV/W 50 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 75 ST,,,,,,,,,,,,0.352 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/AMSTERDAM AV,,,,,,,,,,,,,,,,,,,,,0.251 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 97 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 WEST HARLEM 129 ST via BROADWAY,,,,,,,,,,,,,,,,,,,0.194 41 ST via BROADWAY/7 AV,,,,,,,,,,,,,,,,,,,
