,W 96 ST/CENTRAL PK W,MADISON AV/E 104 ST,5 AV/E 102 ST,E 105 ST/FDR  DR,E 106 ST/2 AV,MADISON AV/E 101 ST,MADISON AV/E 106 ST,5 AV/E 104 ST,MADISON AV/E 102 ST,W 96 ST/AMSTERDAM AV,W 96 ST/WEST END AV,W 97 ST/WEST END AV,W 96 ST/COLUMBUS AV,MADISON AV/E 98 ST,E 106 ST/3 AV,E 106 ST/LEXINGTON AV,CENTRAL PK W/W 97 ST,E 106 ST/MADISON AV,W 96 ST/BROADWAY,E 105 ST/FDR DR,5 AV/E 106 ST,E 106 ST/1 AV,E 96 ST/5 AV,E 105 ST/1 AV,5 AV/E 98 ST,Michael J. Quill Depot (MQ)
W 96 ST/CENTRAL PK W,,,,,,,,,,,,,,,,,,,,,,,0.943 EAST HARLEM FDR DRIVE CROSSTOWN,,,
MADISON AV/E 104 ST,,,,,,,0.167 EAST HARLEM FDR DRIVE CROSSTOWN,,,,,,,,,,,,,,,,,,,
5 AV/E 102 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.309 WEST SIDE WEST END AV CROSSTOWN,
E 105 ST/FDR  DR,,,,,,,,,,,,,,,,,,,,,,,,0.18 WEST SIDE WEST END AV CROSSTOWN,,
E 106 ST/2 AV,,,,,,,,,,,,,,,0.384 WEST SIDE WEST END AV CROSSTOWN,,,,,,,0.24 EAST HARLEM FDR DRIVE CROSSTOWN,,,,
MADISON AV/E 101 ST,,,,,,,,,0.137 EAST HARLEM FDR DRIVE CROSSTOWN,,,,,,,,,,,,,,,,,
MADISON AV/E 106 ST,,,,,,,,,,,,,,,,0.334 EAST HARLEM FDR DRIVE CROSSTOWN,,,,,,,,,,
5 AV/E 104 ST,,,0.18 WEST SIDE WEST END AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 102 ST,,0.099 EAST HARLEM FDR DRIVE CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,
W 96 ST/AMSTERDAM AV,,,,,,,,,,,,,0.271 EAST HARLEM FDR DRIVE CROSSTOWN,,,,,,0.094 WEST SIDE WEST END AV CROSSTOWN,,,,,,,
W 96 ST/WEST END AV,,,,,,,,,,,,,,,,,,,0.181 EAST HARLEM FDR DRIVE CROSSTOWN,,,,,,,8.435 to depot of M106
W 97 ST/WEST END AV,,,,,,,,,,,0.086 WEST SIDE WEST END AV CROSSTOWN,,,,,,,,,,,,,,,
W 96 ST/COLUMBUS AV,0.257 EAST HARLEM FDR DRIVE CROSSTOWN,,,,,,,,,0.271 WEST SIDE WEST END AV CROSSTOWN,,,,,,,,,,,,,,,,
MADISON AV/E 98 ST,,,,,,0.238 EAST HARLEM FDR DRIVE CROSSTOWN,,,,,,,,,,,,,,,,,,,,
E 106 ST/3 AV,,,,,0.868 EAST HARLEM FDR DRIVE CROSSTOWN,,,,,,,,,,,0.165 WEST SIDE WEST END AV CROSSTOWN,,,,,,,,,,
E 106 ST/LEXINGTON AV,,,,,,,,,,,,,,,0.165 EAST HARLEM FDR DRIVE CROSSTOWN,,,0.311 WEST SIDE WEST END AV CROSSTOWN,,,,,,,,
CENTRAL PK W/W 97 ST,,,,,,,,,,,,,0.179 WEST SIDE WEST END AV CROSSTOWN,,,,,,,,,,,,,
E 106 ST/MADISON AV,,,,,,,,,,,,,,,,,,,,,0.202 WEST SIDE WEST END AV CROSSTOWN,,,,,
W 96 ST/BROADWAY,,,,,,,,,,0.094 EAST HARLEM FDR DRIVE CROSSTOWN,,0.267 WEST SIDE WEST END AV CROSSTOWN,,,,,,,,,,,,,,
E 105 ST/FDR DR,,,,0.0 EAST HARLEM FDR DRIVE CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 106 ST,,,,,,,,0.145 WEST SIDE WEST END AV CROSSTOWN,,,,,,,,,,,,,,,,,,
E 106 ST/1 AV,,,,,0.24 WEST SIDE WEST END AV CROSSTOWN,,,,,,,,,,,,,,,0.341 EAST HARLEM FDR DRIVE CROSSTOWN,,,,,,
E 96 ST/5 AV,,,,,,,,,,,,,,0.308 EAST HARLEM FDR DRIVE CROSSTOWN,,,,,,,,,,,,
E 105 ST/1 AV,,,,,,,,,,,,,,,,,,,,,,0.081 WEST SIDE WEST END AV CROSSTOWN,,,,
5 AV/E 98 ST,,,,,,,,,,,,,,,,,1.102 WEST SIDE WEST END AV CROSSTOWN,,,,,,,,,
Michael J. Quill Depot (MQ),,,,,,,,,,,6.071 EAST HARLEM FDR DRIVE CROSSTOWN,,,,,,,,,,,,,,,
