,FRED DOUGLASS BL/W 154 ST,FREDERICK DOUGLASS/W 121 ST,CENTRAL PK W/W 63 ST,FRED DOUGLASS BL/W 142 ST,BROADWAY/WEST 57 ST,FRED DOUGLASS BL/W 153 ST,BROADWAY/W 61 ST,FRED DOUGLASS BL/W 127 ST,CENTRAL PK W/W 104 ST,FREDERICK DOUGLASS BL/W 116 ST,CENTRAL PK W/W 69 ST,FRED DOUGLASS BL/W 123 ST,FRED DOUGLASS BL/W 152 ST,FRED DOUGLASS BL/W 112 ST,CENTRAL PK W/W 74 ST,CENTRAL PK W/W 84 ST,FRED DOUGLASS BL/W 116 ST,FRED DOUGLASS BL/W 121 ST,FRED DOUGLASS BL/W 129 ST,FRED DOUGLASS BL/W 140 ST,CENTRAL PK W/W 81 ST,BROADWAY/W 63 ST,FRED DOUGLASS BL/W 158 ST,CENTRAL PK W/W 79 ST,CENTRAL PK W/W 77 ST,CENTRAL PK W/W 66 ST,CENTRAL PK W/COLUMBUS CIR,FRED DOUGLASS BL/W 148 ST,FREDERICK DOUGLASS BL/114 ST,CENTRAL PK W/W 64 ST,CENTRAL PK W/W 75 ST,FRED DOUGLASS BL/W 138 ST,CENTRAL PK W/W 97 ST,CENTRAL PK W/W 72 ST,COLUMBUS CIR/8 AV,FRED DOUGLASS BL/W 133 ST,FRED DOUGLASS BL/W 128 ST,FRED DOUGLASS BL/W 119 ST,CENTRAL PK W/W 96 ST,CENTRAL PK W/W 67 ST,CENTRAL PK W/W 70 ST,FRED DOUGLASS BL/W 111 ST,FRED DOUGLASS BL/W 131 ST,FRED DOUGLASS BL/W 141 ST,FRED DOUGLASS BL/MACOMBS PL,FRED DOUGLASS BL/W 155 ST,CENTRAL PK W/W 102 ST,CENTRAL PK W/W 100 ST,CENTRAL PK W/W 92 ST,FRED DOUGLASS BL/W 113 ST,FRED DOUGLASS BL/W 125 ST,CENTRAL PK W/CATHEDRAL PY,FRED DOUGLASS BL/W 145 ST,CENTRAL PK W/W 88 ST,CENTRAL PK W/W 90 ST,FRED DOUGLASS BL/W 135 ST,FRED DOUGLASS BL/W 143 ST,CENTRAL PK W/W 106 ST,CENTRAL PK W/W 94 ST,FRED DOUGLASS BL/W 150 ST,FREDERICK DOUGLASS BL/125 ST,CENTRAL PK W/W 108 ST,FRED DOUGLASS BL/W 147 ST,CENTRAL PK W/W 86 ST,8 AV/W  57 ST,CENTRAL PK W/W 68 ST,FRED DOUGLASS BL/CATHEDRAL PY,Michael J. Quill Depot (MQ)
FRED DOUGLASS BL/W 154 ST,,,,,,,,,,,,,0.164 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FREDERICK DOUGLASS/W 121 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 63 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 142 ST,,,,,,,,,,,,,,,,,,,,0.195 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/WEST 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095 57 ST-BROADWAY via CENTRAL PK W.,,,7.741 to depot of M10
FRED DOUGLASS BL/W 153 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.175 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 61 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRED DOUGLASS BL/W 127 ST,,,,,,,,,,,,,,,,,,,0.136 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 104 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,0.16 HARLEM 159 ST via 8 AV,,,,,,,,,,
FREDERICK DOUGLASS BL/W 116 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 57 ST-BROADWAY via CENTRAL PK W.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 69 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 HARLEM 159 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
