,MANHATTAN AV/W 108 ST,MANHATTAN AV/W 112 ST,E 116 ST/5 AV,1 AV/E 120 ST,E 116 ST/LEXINGTON AV,W 116 ST/ST NICHOLAS AV,1 AV/PALADINO AV,MANHATTAN AV/CATHEDRAL PY,W 116 ST/FRED DOUGLASS BL,MANHATTAN AV/W 116 ST,W 106 ST/BROADWAY,PLEASANT AV/E 120 ST,PLEASANT AV/E 117 ST,MANHATTAN AV/W 113 ST,W 116 ST/ADAM C POWELL BL,E 116 ST/2 AV,MANHATTAN AV/W 114 ST,MANHATTAN AV/W 111 ST,1 AV/E 116 ST,W 116 ST/MALCOLM X BL,W 116 ST/5 AV,E 116 ST/PLEASANT AV,E 116 ST/1 AV,MANHATTAN AV/W 109 ST,W 106 ST/AMSTERDAM AV,E 116 ST/PARK AV,E 116 ST/MADISON AV,E 116 ST/3 AV,MANHATTAN AV/W 106 ST,W 106 ST/COLUMBUS AV,Michael J. Quill Depot (MQ)
MANHATTAN AV/W 108 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161 WEST SIDE BROADWAY-106 ST CROSSTOWN,,
MANHATTAN AV/W 112 ST,,,,,,,,0.165 WEST SIDE BROADWAY-106 ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,
E 116 ST/5 AV,,,,,,,,,,,,,,,,,,,,0.253 WEST SIDE BROADWAY-106 ST CROSSTOWN,,,,,,,,,,,
1 AV/E 120 ST,,,,,,,0.225 EAST HARLEM PALADINO AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,
E 116 ST/LEXINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 WEST SIDE BROADWAY-106 ST CROSSTOWN,,0.156 EAST HARLEM PALADINO AV CROSSTOWN,,,
W 116 ST/ST NICHOLAS AV,,,,,,,,,0.246 WEST SIDE BROADWAY-106 ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,
1 AV/PALADINO AV,,,,,,,,,,,,1.017 EAST HARLEM PALADINO AV CROSSTOWN,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/CATHEDRAL PY,0.155 WEST SIDE BROADWAY-106 ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 116 ST/FRED DOUGLASS BL,,,,,,,,,,0.141 WEST SIDE BROADWAY-106 ST CROSSTOWN,,,,,0.281 EAST HARLEM PALADINO AV CROSSTOWN,,,,,,,,,,,,,,,,
MANHATTAN AV/W 116 ST,,,,,,,,,0.141 EAST HARLEM PALADINO AV CROSSTOWN,,,,,,,,0.15 WEST SIDE BROADWAY-106 ST CROSSTOWN,,,,,,,,,,,,,,
W 106 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,0.175 EAST HARLEM PALADINO AV CROSSTOWN,,,,,,7.103 to depot of M116
PLEASANT AV/E 120 ST,,,,,,,,,,,,,1.977 WEST SIDE BROADWAY-106 ST CROSSTOWN,,,,,,,,,,,,,,,,,,
PLEASANT AV/E 117 ST,,,,,,,,,,,,,,,,,,,,,,0.086 WEST SIDE BROADWAY-106 ST CROSSTOWN,,,,,,,,,
MANHATTAN AV/W 113 ST,,,,,,,,,,0.246 EAST HARLEM PALADINO AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,
W 116 ST/ADAM C POWELL BL,,,,,,,,,,,,,,,,,,,,0.324 EAST HARLEM PALADINO AV CROSSTOWN,,,,,,,,,,,
E 116 ST/2 AV,,,,,,,,,,,,,,,,,,,0.271 EAST HARLEM PALADINO AV CROSSTOWN,,,,,,,,,0.216 WEST SIDE BROADWAY-106 ST CROSSTOWN,,,
MANHATTAN AV/W 114 ST,,0.176 WEST SIDE BROADWAY-106 ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/W 111 ST,,,,,,,,,,,,,,0.159 EAST HARLEM PALADINO AV CROSSTOWN,,,,,,,,,,,,,,,,,
1 AV/E 116 ST,,,,0.332 EAST HARLEM PALADINO AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 116 ST/MALCOLM X BL,,,,,,0.359 WEST SIDE BROADWAY-106 ST CROSSTOWN,,,,,,,,,,,,,,,0.253 EAST HARLEM PALADINO AV CROSSTOWN,,,,,,,,,,
