,10 AV/W 55 ST,AMSTERDAM AV/W 79 ST,9 AV/W 59 ST,BETHUNE ST/GREENWICH ST,AMSTERDAM AV/W 120 ST,AMSTERDAM AV/W 81 ST,AMSTERDAM AV/W 102 ST,AMSTERDAM AV/W 69 ST,COLUMBUS AV/W 61 ST,9 AV/W 20 ST,COLUMBUS AV/W 78 ST,AMSTERDAM AV/W 125 ST,AMSTERDAM AV/W 65 ST,AMSTERDAM AV/W 62 ST,AMSTERDAM AV/W 123 ST,COLUMBUS AV/W 94 ST,AMSTERDAM AV/W 75 ST,W 14 ST/10 AV,10 AV/W 19 ST,AMSTERDAM AV/W 118 ST,AMSTERDAM AV/W 116 ST,RIVERSIDE DR/W 139 ST,COLUMBUS AV/CATHEDRAL PY,10 AV/WEST 16 ST,COLUMBUS AV/W 66 ST,COLUMBUS AV/W 75 ST,10 AV/W 25 ST,10 AV/W 40 ST,GREENWICH ST/HORATIO ST,9 AV/W 40 ST,10 AV/W 53 ST,10 AV/W 45 ST,AMSTERDAM AV/W 114 ST,W 135 ST/RIVERSIDE DR,10 AV/W 37 ST,HUDSON ST/BETHUNE ST,COLUMBUS AV/W 80 ST,AMSTERDAM AV/W 86 ST,W 14 ST/9 AV,COLUMBUS AV/W 97 ST,COLUMBUS AV/W 92 ST,CATHEDRAL PY/AMSTERDAM AV,9 AV/W 50 ST,10 AV/W 21 ST,9 AV/W 30 ST,AMSTERDAM AV/W 83 ST,AMSTERDAM AV/LA SALLE ST,COLUMBUS AV/W 102 ST,HUDSON ST/W 13 ST,9 AV/W 44 ST,W 135 ST/BROADWAY,COLUMBUS AV/W 84 ST,AMSTERDAM AV/W 100 ST,W 133 ST/AMSTERDAM AV,RIVERSIDE DR/W 142 ST,9 AV/W 23 ST,9 AV/W 25 ST,AMSTERDAM AV/W 112 ST,10 AV/W 30 ST,AMSTERDAM AV/W 96 ST,RIVERSIDE DR/W 145 ST,AMSTERDAM AV/W 106 ST,AMSTERDAM AV/W 77 ST,10 AV/W 57 ST,AMSTERDAM AV/W 131 ST,COLUMBUS AV/W 89 ST,9 AV/W 46 ST,COLUMBUS AV/W 106 ST,HUDSON ST/HORATIO ST,10 AV/W 42 ST,W 135 ST/AMSTERDAM AV,COLUMBUS AV/W 72 ST,9 AV/W 34 ST,10 AV/W 23 ST,RIVERBANK/STATE PARK,COLUMBUS AV/W 86 ST,AMSTERDAM AV/W 72 ST,AMSTERDAM AV/W 67 ST,AMSTERDAM AV/W 129 ST,9 AV/W 18 ST,9 AV/W 35 ST,10 AV/W 27 ST,9 AV/W 55 ST,AMSTERDAM AV/W 104 ST,RIVERSIDE DR/W 137 ST,10 AV/W 49 ST,9 AV/W 28 ST,AMSTERDAM AV/W 89 ST,10 AV/W 47 ST,COLUMBUS AV/W 63 ST,COLUMBUS AV/W 100 ST,AMSTERDAM AV/W 59 ST,AMSTERDAM AV/W 109 ST,AMSTERDAM AV/W 93 ST,BROADWAY/W 133 ST,COLUMBUS AV/W 69 ST,AMSTERDAM AV/W 98 ST,AMSTERDAM AV/W 91 ST,10 AV/W 34 ST,RIVERSIDE DR/W 144 ST,9 AV/W 42 ST,9 AV/W 52 ST,9 AV/W 57 ST,COLUMBUS AV/W 108 ST,Michael J. Quill Depot (MQ)
10 AV/W 55 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 79 ST,,,,,,0.211 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 59 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133 WEST VILLAGE ABINGDON SQ via 9 AV,,
BETHUNE ST/GREENWICH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 120 ST,,,,,,,,,,,,,,,0.2 RIVERBANK 145 ST via 10 AV,,,,,0.179 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 81 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.132 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 102 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,
AMSTERDAM AV/W 69 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 RIVERBANK 145 ST via 10 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 61 ST,,,0.191 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 20 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMBUS AV/W 78 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 WEST VILLAGE ABINGDON SQ via 9 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
