,W 57 ST/9 AV,W 58 ST/BROADWAY,11 AV/ W 47 ST,W 57 ST/BROADWAY,11 AV/W 50 ST,HUDSON ST/W 13 ST,9 AV/W 18 ST,12 AV/W 46 ST,11 AV/W 44 ST,11 AV/W 34 ST,12 AV/ W 27 ST,12 AV/W 48 ST,12 AV/W 30 ST,W 18 ST / 10 AV,11 AV/W 26 ST,12 AV/W 52 ST,W 57 ST/11 AV,12 AV/W 43 ST,8 AV/W  57 ST,11 AV/W 15 ST,8 AV/W 12 ST,W 24 ST/11 AV,W 14 ST/10 AV,W 57 ST/10 AV,11 AV/W 42 ST,11 AV/W 38 ST,11 AV/ W 18 ST,11 AV/W 23 ST,11 AV/W 29 ST,11 AV/W 54 ST,HUDSON ST/HORATIO ST,12 AV/W 33 ST,W 14 ST/9 AV,W 14 ST/8 AV,8 AV/12 ST,12 AV/W 55 ST,12 AV/ W 40 ST,11 AV/W 57 ST,Michael J. Quill Depot (MQ)
W 57 ST/9 AV,,,,,,,,,,,,,,,,,,,0.274 MIDTOWN WEST COLUMBUS CIRCLE,,,,,0.274 WEST VILLAGE ABINGDON SQ,,,,,,,,,,,,,,,
W 58 ST/BROADWAY,,,,0.088 WEST VILLAGE ABINGDON SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 AV/ W 47 ST,,,,,,,,,0.261 WEST VILLAGE ABINGDON SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 57 ST/BROADWAY,0.369 WEST VILLAGE ABINGDON SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 AV/W 50 ST,,,1.974 WEST VILLAGE ABINGDON SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUDSON ST/W 13 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 WEST VILLAGE ABINGDON SQ,,,,,,,,
9 AV/W 18 ST,,,,,,1.772 WEST VILLAGE ABINGDON SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 AV/W 46 ST,,,,,,,,,,,,2.115 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 AV/W 44 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.185 WEST VILLAGE ABINGDON SQ,,,,,,,,,,,,,,
11 AV/W 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344 WEST VILLAGE ABINGDON SQ,,,,,,,,,,
12 AV/ W 27 ST,,,,,,,,,,,,,1.412 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,,,,,,,,,,,,,,,,,,,,
12 AV/W 48 ST,,,,,,,,,,,,,,,,0.337 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,,,,,,,,,,,,,,,,,
12 AV/W 30 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,
W 18 ST / 10 AV,,,,,,,0.271 WEST VILLAGE ABINGDON SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 AV/W 26 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 WEST VILLAGE ABINGDON SQ,,,,,,,,,,,
12 AV/W 52 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 MIDTOWN WEST COLUMBUS CIRCLE,,,
W 57 ST/11 AV,,,,,,,,,,,,,,,,,,,,,,,,0.273 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,,,,,,,,,
12 AV/W 43 ST,,,,,,,,0.94 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/W  57 ST,,0.137 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 AV/W 15 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,1.503 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,,,,,,
8 AV/W 12 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315 MIDTOWN WEST COLUMBUS CIRCLE,,,,,
W 24 ST/11 AV,,,,,,,,,,,0.412 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 14 ST/10 AV,,,,,,,,,,,,,,,,,,,,0.188 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,,,,,,,,,,,,,
W 57 ST/10 AV,0.274 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.287 WEST VILLAGE ABINGDON SQ,
11 AV/W 42 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 WEST VILLAGE ABINGDON SQ,,,,,,,,,,,,,
11 AV/W 38 ST,,,,,,,,,,0.331 WEST VILLAGE ABINGDON SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 AV/ W 18 ST,,,,,,,,,,,,,,,,,,,,,,0.737 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,,,,,,,,,,,
11 AV/W 23 ST,,,,,,,,,,,,,,0.6 WEST VILLAGE ABINGDON SQ,,,,,,,,,,,,,,,,,,,,,,,,,
11 AV/W 29 ST,,,,,,,,,,,,,,,0.234 WEST VILLAGE ABINGDON SQ,,,,,,,,,,,,,,,,,,,,,,,,
11 AV/W 54 ST,,,,,1.874 WEST VILLAGE ABINGDON SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUDSON ST/HORATIO ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 WEST VILLAGE ABINGDON SQ,,,,
12 AV/W 33 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56 MIDTOWN WEST COLUMBUS CIRCLE,,
W 14 ST/9 AV,,,,,,,,,,,,,,,,,,,,,,,0.573 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,,,,,,,,,,
W 14 ST/8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,
8 AV/12 ST,,,,,,,,,,,,,,,,,,,,,0.606 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,,,,,,,,,,,,
12 AV/W 55 ST,,,,,,,,,,,,,,,,,0.4 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,,,,,,,,,,,,,,,,
12 AV/ W 40 ST,,,,,,,,,,,,,,,,,,0.276 MIDTOWN WEST COLUMBUS CIRCLE,,,,,,,,,,,,,,,,,,,,,0.557 to depot of M12
11 AV/W 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88 WEST VILLAGE ABINGDON SQ,,,,,,,,,
Michael J. Quill Depot (MQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.249 MIDTOWN WEST COLUMBUS CIRCLE,,
