,GRAND ST/JACKSON ST,W 14 ST/8 AV,E 14 ST/1 AV,HUDSON ST/W 12 ST,E 14 ST/UNIVERSITY PL,ESSEX ST/GRAND ST,E 14 ST/IRVING PL,GRAND ST/ESSEX ST,W 14 ST/7 AV,W 14 ST/5 AV,AV A/E 11 ST,GRAND ST/CLINTON ST,E 14 ST/2 AV,GRAND ST/FDR DR,JACKSON ST/MADISON ST,GRAND ST/EAST BROADWAY,E 14 ST/4 AV,W 14 ST/6 AV,GRAND ST/COLUMBIA ST,AV A/E HOUSTON ST,AV A/E 5 ST,HUDSON ST/W 13 ST,GRAND ST/PITT ST,AV A/E 14 ST,E 14 ST/UNION SQ W,E 14 ST/3 AV,ESSEX ST/DELANCEY ST,8 AV/BLEECKER ST,Michael J. Quill Depot (MQ)
GRAND ST/JACKSON ST,,,,,,,,,,,,,,0.64 SELECT BUS LES GRAND-FDR via 14 ST,,,,,,,,,,,,,,,
W 14 ST/8 AV,,,,,,,,,0.273 SELECT BUS LES GRAND-FDR via 14 ST,,,,,,,,,,,,,0.343 SELECT BUS WEST SIDE via 14 ST,,,,,,,3.354 to depot of M14A-SBS
E 14 ST/1 AV,,,,,,,,,,,,,0.229 SELECT BUS WEST SIDE via 14 ST,,,,,,,,,,,0.264 SELECT BUS LES GRAND-FDR via 14 ST,,,,,
HUDSON ST/W 12 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.146 SELECT BUS LES GRAND-FDR via 14 ST,
E 14 ST/UNIVERSITY PL,,,,,,,0.322 SELECT BUS LES GRAND-FDR via 14 ST,,,,,,,,,,,,,,,,,,,,,,
ESSEX ST/GRAND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 SELECT BUS WEST SIDE via 14 ST,,
E 14 ST/IRVING PL,,,,,,,,,,,,,,,,,,,,,,,,,,0.195 SELECT BUS LES GRAND-FDR via 14 ST,,,
GRAND ST/ESSEX ST,,,,,,,,,,,,0.687 SELECT BUS LES GRAND-FDR via 14 ST,,,,,,,,,,,,,,,,,
W 14 ST/7 AV,,0.273 SELECT BUS WEST SIDE via 14 ST,,,,,,,,,,,,,,,,0.218 SELECT BUS LES GRAND-FDR via 14 ST,,,,,,,,,,,
W 14 ST/5 AV,,,,,,,,,,,,,,,,,,0.365 SELECT BUS WEST SIDE via 14 ST,,,,,,,,,,,
AV A/E 11 ST,,,,,,,,,,,,,,,,,,,,,0.491 SELECT BUS LES GRAND-FDR via 14 ST,,,0.164 SELECT BUS WEST SIDE via 14 ST,,,,,
GRAND ST/CLINTON ST,,,,,,0.223 SELECT BUS WEST SIDE via 14 ST,,,,,,,,,,,,,,,,,0.762 SELECT BUS LES GRAND-FDR via 14 ST,,,,,,
E 14 ST/2 AV,,,0.229 SELECT BUS LES GRAND-FDR via 14 ST,,,,,,,,,,,,,,,,,,,,,,,0.259 SELECT BUS WEST SIDE via 14 ST,,,
GRAND ST/FDR DR,,,,,,,,,,,,,,,0.302 SELECT BUS WEST SIDE via 14 ST,,,,,,,,,,,,,,
JACKSON ST/MADISON ST,,,,,,,,,,,,,,,,,,,0.754 SELECT BUS WEST SIDE via 14 ST,,,,,,,,,,
GRAND ST/EAST BROADWAY,0.142 SELECT BUS LES GRAND-FDR via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 14 ST/4 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.219 SELECT BUS WEST SIDE via 14 ST,,,,
W 14 ST/6 AV,,,,,0.514 SELECT BUS LES GRAND-FDR via 14 ST,,,,0.218 SELECT BUS WEST SIDE via 14 ST,,,,,,,,,,,,,,,,,,,,
GRAND ST/COLUMBIA ST,,,,,,,,,,,,,,,,,,,,,,,0.708 SELECT BUS WEST SIDE via 14 ST,,,,,,
AV A/E HOUSTON ST,,,,,,,,,,,,,,,,,,,,,0.317 SELECT BUS WEST SIDE via 14 ST,,,,,,0.463 SELECT BUS LES GRAND-FDR via 14 ST,,
AV A/E 5 ST,,,,,,,,,,,0.491 SELECT BUS WEST SIDE via 14 ST,,,,,,,,,0.317 SELECT BUS LES GRAND-FDR via 14 ST,,,,,,,,,
HUDSON ST/W 13 ST,,,,0.279 SELECT BUS WEST SIDE via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,
GRAND ST/PITT ST,,,,,,,,,,,,0.246 SELECT BUS WEST SIDE via 14 ST,,,,0.169 SELECT BUS LES GRAND-FDR via 14 ST,,,,,,,,,,,,,
AV A/E 14 ST,,,0.264 SELECT BUS WEST SIDE via 14 ST,,,,,,,,0.164 SELECT BUS LES GRAND-FDR via 14 ST,,,,,,,,,,,,,,,,,,
E 14 ST/UNION SQ W,,,,,,,,,,0.141 SELECT BUS WEST SIDE via 14 ST,,,,,,,,,,,,,,,,,,,
E 14 ST/3 AV,,,,,,,,,,,,,0.259 SELECT BUS LES GRAND-FDR via 14 ST,,,,0.357 SELECT BUS WEST SIDE via 14 ST,,,,,,,,,,,,
ESSEX ST/DELANCEY ST,,,,,,,,0.211 SELECT BUS LES GRAND-FDR via 14 ST,,,,,,,,,,,,0.463 SELECT BUS WEST SIDE via 14 ST,,,,,,,,,
8 AV/BLEECKER ST,,0.341 SELECT BUS LES GRAND-FDR via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael J. Quill Depot (MQ),,3.245 SELECT BUS LES GRAND-FDR via 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
