,ALLEN ST/E HOUSTON ST,2 AV/E 78 ST,ALLEN ST/HESTER ST,SOUTH FERRY/TERMINAL,2 AV/E 68 ST,2 AV/E 106 ST,2 AV/E 50 ST,2 AV/E 13 ST,1 AV/E 86 ST,2 AV/E 125 ST,2 AV/E 115 ST,E 126 ST/2 AV,1 AV/E 28 ST,1 AV/E 34 ST,2 AV/E 86 ST,2 AV/E 57 ST,2 AV/E 23 ST,1 AV/E 42 ST,1 AV/E 79 ST,1 AV/E 67 ST,1 AV/MITCHELL PL,1 AV/E 1 ST,PEARL ST/FULTON ST,ALLEN ST/GRAND ST,1 AV/E 14 ST,2 AV/E 42 ST,1 AV/E 106 ST,2 AV/E 28 ST,1 AV/E 25 ST,1 AV/E 125 ST,1 AV/E 57 ST,1 AV/ E 97 ST,MADISON ST/CATHERINE ST,1 AV/E 116 ST,2 AV/E 96 ST,2 AV/E 34 ST,WATER ST/WALL ST,Michael J. Quill Depot (MQ)
ALLEN ST/E HOUSTON ST,,,1.207 SELECT BUS SERVICE SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 78 ST,,,,,1.442 SELECT BUS SERVICE SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLEN ST/HESTER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.805 SELECT BUS SERVICE SOUTH FERRY via 2 AV,,,,,
SOUTH FERRY/TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.673 SELECT BUS SERVICE 125 ST via 1 AV,
2 AV/E 68 ST,,,,,,,,,,,,,,,,0.895 SELECT BUS SERVICE SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.883 SELECT BUS SERVICE SOUTH FERRY via 2 AV,,,
2 AV/E 50 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.642 SELECT BUS SERVICE SOUTH FERRY via 2 AV,,,,,,,,,,,,
2 AV/E 13 ST,1.245 SELECT BUS SERVICE SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.491 SELECT BUS SERVICE 125 ST via 1 AV,,,,,,
2 AV/E 125 ST,,,,,,,,,,,0.81 SELECT BUS SERVICE SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 115 ST,,,,,,0.705 SELECT BUS SERVICE SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 126 ST/2 AV,,,,,,,,,,0.125 SELECT BUS SERVICE SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 28 ST,,,,,,,,,,,,,,0.409 SELECT BUS SERVICE 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 34 ST,,,,,,,,,,,,,,,,,,0.636 SELECT BUS SERVICE 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,
2 AV/E 86 ST,,0.667 SELECT BUS SERVICE SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 57 ST,,,,,,,0.562 SELECT BUS SERVICE SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 AV/E 23 ST,,,,,,,,0.791 SELECT BUS SERVICE SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 42 ST,,,,,,,,,,,,,,,,,,,,,0.627 SELECT BUS SERVICE 125 ST via 1 AV,,,,,,,,,,,,,,,,,8.352 to depot of M15-SBS
1 AV/E 79 ST,,,,,,,,,0.555 SELECT BUS SERVICE 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 67 ST,,,,,,,,,,,,,,,,,,,0.961 SELECT BUS SERVICE 125 ST via 1 AV,,,,,,,,,,,,,,,,,,,
1 AV/MITCHELL PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.591 SELECT BUS SERVICE 125 ST via 1 AV,,,,,,,
1 AV/E 1 ST,,,,,,,,,,,,,,,,,,,,,,,,,1.025 SELECT BUS SERVICE 125 ST via 1 AV,,,,,,,,,,,,,
PEARL ST/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.893 SELECT BUS SERVICE 125 ST via 1 AV,,,,0.427 SELECT BUS SERVICE SOUTH FERRY via 2 AV,
ALLEN ST/GRAND ST,,,,,,,,,,,,,,,,,,,,,,0.701 SELECT BUS SERVICE 125 ST via 1 AV,,,,,,,,,,,,,,,,
1 AV/E 14 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.867 SELECT BUS SERVICE 125 ST via 1 AV,,,,,,,,,
2 AV/E 42 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64 SELECT BUS SERVICE SOUTH FERRY via 2 AV,,
1 AV/E 106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.248 SELECT BUS SERVICE 125 ST via 1 AV,,,,
2 AV/E 28 ST,,,,,,,,,,,,,,,,,0.402 SELECT BUS SERVICE SOUTH FERRY via 2 AV,,,,,,,,,,,,,,,,,,,,,
