,MADISON AV/E 129 ST,W 147 ST/MALCOLM X BL,MADISON AV/E 52 ST,5 AV/W 12 ST,MALCOLM X BL/W 146 ST,MADISON AV/E 125 ST,MADISON AV/E 63 ST,MADISON AV/E 30 ST,5 AV/W 35 ST,5 AV/W 56 ST,MADISON AV/E 49 ST,MADISON AV/E 101 ST,MADISON AV/E 104 ST,E 8 ST/UNIVERSITY PL,4 AV/E 9 ST,MT MORRIS PK W/W 121 ST,MADISON AV/E 47 ST,5 AV/E 75 ST,W 147 ST/ADAM C POWELL BL,5 AV/E 63 ST,5 AV/E 61 ST,5 AV/W 137 ST,5 AV/E 72 ST,MADISON AV/E 118 ST,MADISON AV/E 102 ST,MADISON AV/E 60  ST,PARK AV S/E 18 ST,5 AV/W 29 ST,MADISON AV/E 57 ST,146 ST/LENOX AV,MADISON AV/E 91 ST,MADISON AV/E 66 ST,4 AV/E 12 ST,CLEVELAND  PL/SPRING ST,MADISON AV/E 34 ST,BROADWAY/W 3 ST,MADISON AV/E 106 ST,MADISON AV/E 89 ST,MADISON AV/E 86 ST,5 AV/W 112 ST,5 AV/W 26 ST,5 AV/W 44 ST,5 AV/W 20 ST,5 AV/W 23 ST,5 AV/E 90 ST,E 8 ST/5 AV,UNION SQ E/E 15 ST,5 AV/E 81 ST,MADISON AV/E 42 ST,MALCOLM X BL/W 145 ST,5 AV/W 118 ST,LAFAYETTE ST/E HOUSTON ST,MADISON AV/E 69 ST,MADISON AV/E 93 ST,5 AV/W 10 ST,5 AV/E 96 ST,LAFAYETTE ST/E 4 ST,CENTRE ST/BROOME ST,PARK AV S/E 21 ST,5 AV/W 41 ST,LAFAYETTE ST/ASTOR PL,5 AV/E 135 ST,5 AV/E 77 ST,5 AV/W 66 ST,MADISON AV/E 28 ST,4 AV/E 10 ST,5 AV/W 49 ST,5 AV/W 17 ST,E 8 ST/LAFAYETTE ST,MADISON AV/E 81 ST,MADISON AV/E 127 ST,MADISON AV/E 95 ST,MADISON AV/E 72 ST,W 139 ST/5 AV,5 AV/W 31 ST,5 AV/E 102 ST,W 120 ST/5 AV,W 139 ST/MALCOLM X BL,5 AV/E 108 ST,BROADWAY/PRINCE ST,MADISON AV/E 83 ST,5 AV/E 84 ST,5 AV/E 92 ST,5 AV/W 46 ST,MALCOLM X BL/W 142 ST,5 AV/E 98 ST,MADISON AV/E 67 ST,MADISON AV/E 37 ST,5 AV/W 132 ST,5 AV/W 52 ST,MADISON AV/E 114 ST,5 AV/W 116 ST,MADISON AV/E 98 ST,MADISON AV/E 109 ST,5 AV/W 128 ST,5 AV/W 59 ST,5 AV/W 125 ST,MADISON AV/E 116 ST,5 AV/W 38 ST,MADISON AV/E 123 ST,5 AV/E 138 ST,MADISON AV/E 112 ST,MADISON AV/E 107 ST,E 25 ST/PARK AV S,5 AV/EAST 109 ST,MADISON AV/E 121 ST,MADISON AV/E 55  ST,MALCOLM X BL/W 139 ST,PARK AV S/E 23 ST,5 AV/W 130 ST,5 AV/W 13 ST,5 AV/E 94 ST,5 AV/E 87 ST,MADISON AV/E 45 ST,BROADWAY/BLEECKER ST,5 AV/E 106 ST,MT MORRIS PK W/W 124 ST,MADISON AV/E 40  ST,5 AV/E 104 ST,BROADWAY/SPRING ST,MADISON AV/E 74 ST,5 AV/W 138 ST,E 8 ST/MERCER ST,5 AV/W 135 ST,5 AV/W 33 ST,4 AV/E 13 ST,MADISON AV/E 77 ST,BROADWAY/WAVERLY PL,BROADWAY/W HOUSTON ST,MADISON AV/E 132 ST,E 135 ST/MADISON AV,5 AV/E 69 ST,Michael J. Quill Depot (MQ)
MADISON AV/E 129 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 HARLEM 147 ST via MADISON AV,,,
W 147 ST/MALCOLM X BL,,,,,,,,,,,,,,,,,,,0.288 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 52 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 12 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/W 146 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.439 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 125 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.494 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 63 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 30 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322 HARLEM 147 ST via MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 35 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 GRAND ST via 5 AV/BROADWAY,,,,,,,,
5 AV/W 56 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 GRAND ST via 5 AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
