,7 AV S/CLARKSON ST,8 AV/W 34 ST,8 AV/W 31 ST,8 AV/W 49 ST,HUDSON ST/W HOUSTON ST,7 AV/W 17 ST,7 AV/W 50 ST,7 AV/W 37 ST,8 AV/W 28 ST,HARRISON ST/WEST ST,8 AV/W 52 ST,8 AV/W 23 ST,STATE ST/BRIDGE ST,HUDSON ST/NORTH MOORE ST,HUDSON ST/CHARLTON ST,8 AV/W 14 ST,7 AV/WEST 55 ST,7 AV/W 28 ST,8 AV/W 25 ST,W BROADWAY/DUANE ST,BROADWAY/W 63 ST,7 AV/W 23 ST,HUDSON ST/CHRISTOPHER ST,8 AV/W 20 ST,STATE ST/WHITEHALL ST,8 AV/W 43 ST,W 66 ST/CENTRAL PK W,7 AV S/WAVERLY PL,7 AV/WEST 14 ST,8 AV/W  56 ST,HUDSON ST/BARROW ST,7 AV/W 41 ST,CENTRAL PK W/W 63 ST,BROADWAY/W 64 ST,7 AV S/BEDFORD ST,VARICK ST/CHARLTON ST,CHAMBERS ST/GREENWICH ST,VARICK ST/WATTS ST,WEST ST/CHAMBERS ST,W 66 ST/COLUMBUS AV,7 AV/W 31 ST,BATTERY PL/1 PL,HUDSON ST/PERRY ST,8 AV/W 4 ST,CHAMBERS ST/HUDSON ST,8 AV/W 17 ST,8 AV/W 46 ST,SOUTH END AV/GATEWAY PLAZA,7 AV/W 34 ST,CENTRAL PK S/COLUMBUS CI,BATTERY PL/3 PL,NORTH END AV/WARREN ST,7 AV/W 53 ST,7 AV/W 25 ST,CENTRAL PK W/COLUMBUS CIR,MURRAY ST/NORTH END AV,8 AV/BLEECKER ST,7 AV S/W 10 ST,HARRISON ST/HUDSON ST,7 AV S/BARROW ST,HUDSON ST/SPRING ST,7 AV/WEST 58 ST,COLUMBUS CIR/8 AV,CHAMBERS ST/WEST ST,WEST THAMES ST/SOUTH END AV,BATTERY PL/WASHINGTON ST,SOUTH END AV/ALBANY ST,7 AV/W 39 ST,VESEY ST/NORTH END AV,8 AV/W 41 ST,8 AV/W 37 ST,BROADWAY/W 61 ST,7 AV/W 20 ST,BATTERY PL/WEST ST,VARICK ST/NORTH MOORE ST,Michael J. Quill Depot (MQ)
7 AV S/CLARKSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/W 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202 LINCOLN CENTER 66 ST via 8 AV,,,,,
8 AV/W 31 ST,,0.294 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/W 49 ST,,,,,,,,,,,0.202 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUDSON ST/W HOUSTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/W 17 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/W 50 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.707 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV/W 37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292 SOUTH FERRY via 7 AV via BAT PK CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/W 28 ST,,,0.186 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARRISON ST/WEST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 LINCOLN CENTER 66 ST via 8 AV,,,,,,,,,,,,,,,,,
