,SPRING ST/HUDSON ST,E HOUSTON ST/CLINTON ST,E HOUSTON ST/RIDGE ST,W HOUSTON ST/W BROADWAY,E HOUSTON ST/AV C,COLUMBIA ST/RIVINGTON ST,E HOUSTON ST/2 AV,GRAND ST/FDR DRIVE,COLUMBIA ST/HOUSTON ST,W HOUSTON ST/AV OF THE AMERICAS,W HOUSTON ST/VARICK ST,E HOUSTON ST/COLUMBIA ST,DELANCEY ST/COLUMBIA ST,E HOUSTON ST/CROSBY ST,E HOUSTON ST/ESSEX ST,W HOUSTON ST/SULLIVAN ST,LEWIS ST/GRAND ST,E HOUSTON ST/NORFOLK ST,SPRING ST/GREENWICH ST,GRAND ST/FDR DR,W HOUSTON ST/MACDOUGAL ST,E HOUSTON ST/BARUCH DR,AV OF THE AMERICAS/SPRING ST,AV OF THE AMERICAS/PRINCE ST,E HOUSTON ST/MOTT ST,W HOUSTON ST/GREENE ST,E HOUSTON ST/AV A,E HOUSTON ST/BOWERY,E HOUSTON ST/1 AV,E HOUSTON ST/MANGIN ST,E HOUSTON ST/FORSYTH ST,W HOUSTON ST/LA GUARDIA PL,E HOUSTON ST/AV B,WASHINGTON ST/W HOUSTON ST,F. D. R. DRIVE/555 FDR DR,W HOUSTON ST/HUDSON ST,Michael J. Quill Depot (MQ)
SPRING ST/HUDSON ST,,,,,,,,,,,,,,,,,,,,,,,0.811 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,,,,,,,,
E HOUSTON ST/CLINTON ST,,,0.77 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E HOUSTON ST/RIDGE ST,,,,,,,,,,,,0.609 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,
W HOUSTON ST/W BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,,,,,
E HOUSTON ST/AV C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 SOHO SPRING ST CROSSTOWN,,,,
COLUMBIA ST/RIVINGTON ST,,,,,,,,,0.241 SOHO SPRING ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E HOUSTON ST/2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306 SOHO SPRING ST CROSSTOWN,,,,,,,,,
GRAND ST/FDR DRIVE,,,,,,,,,,,,,,,,,0.215 SOHO SPRING ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,
COLUMBIA ST/HOUSTON ST,,,,,0.286 SOHO SPRING ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W HOUSTON ST/AV OF THE AMERICAS,,,,,,,,,,,,,,,,0.163 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,,,,,,,,,,,,,,,
W HOUSTON ST/VARICK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15 SOHO SPRING ST CROSSTOWN,
E HOUSTON ST/COLUMBIA ST,,,,,,,,,,,,,,,,,,,,,,0.662 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,,,,,,,,,
DELANCEY ST/COLUMBIA ST,,,,,,0.49 SOHO SPRING ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E HOUSTON ST/CROSBY ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 SOHO SPRING ST CROSSTOWN,,,,,,,,,,,
E HOUSTON ST/ESSEX ST,,,,,,,,,,,,,,,,,,0.38 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,,,,,,,,,,,,,
W HOUSTON ST/SULLIVAN ST,,,,0.148 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,,,,,,,,,,,0.09 SOHO SPRING ST CROSSTOWN,,,,,,,,,,,,,,,,
LEWIS ST/GRAND ST,,,,,,,,,,,,,0.325 SOHO SPRING ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,
E HOUSTON ST/NORFOLK ST,,0.605 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRING ST/GREENWICH ST,0.131 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.397 to depot of M21
GRAND ST/FDR DR,,,,,,,,0.0 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W HOUSTON ST/MACDOUGAL ST,,,,,,,,,,,0.28 SOHO SPRING ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,
E HOUSTON ST/BARUCH DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.004 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,
AV OF THE AMERICAS/SPRING ST,,,,,,,,,,,,,,,,,,,,,,,,0.216 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,,,,,,,
AV OF THE AMERICAS/PRINCE ST,,,,,,,,,,0.101 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
E HOUSTON ST/MOTT ST,,,,,,,,,,,,,,0.552 SOHO SPRING ST CROSSTOWN,,,,,,,,,,,,,,0.284 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,,,
W HOUSTON ST/GREENE ST,,,,,,,,,,,,,,,,,,,,,,,,,0.406 LOWER E SIDE GRAND-FDR CROSSTOWN,,,,,,,0.171 SOHO SPRING ST CROSSTOWN,,,,,
E HOUSTON ST/AV A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206 SOHO SPRING ST CROSSTOWN,,,,,,,,
