,MADISON ST/RUTGERS ST,MURRAY ST/NORTH END AV,PARK ROW/SPRUCE ST,E BROADWAY/MARKET ST,CHAMBERS ST/HUDSON ST,MADISON ST/GRAND ST,MADISON ST/OLIVER ST,NORTH END AV/WARREN ST,MADISON ST/GOUVERNEUR ST,CENTRE ST/CHAMBERS ST,GRAND ST/FDR DR,WORTH ST/MOTT ST,MADISON ST/JACKSON ST,MADISON ST/MONTGOMERY ST,CHAMBERS ST/BROADWAY,MADISON ST/JEFFERSON ST,JACKSON ST/MADISON ST,CHAMBERS ST/W BROADWAY,ST JAMES PL/R F WAGNER SR PL,WORTH ST/CENTRE ST,MADISON ST/CLINTON ST,MADISON ST/MARKET ST,CHAMBERS ST/CHURCH ST,VESEY ST/NORTH END AV,FRANKFORT ST/PEARL ST,E BROADWAY/CATHERINE ST,CHAMBERS ST/GREENWICH ST,MADISON ST/PIKE ST,FRANKFORT ST/WILLIAM ST,CHAMBERS ST/WEST ST,Michael J. Quill Depot (MQ)
MADISON ST/RUTGERS ST,,,,,,,,,,,,,,,,0.13 LOWER E. SIDE FDR DR,,,,,,,,,,,,0.192 BATTERY PK CTY,,,
MURRAY ST/NORTH END AV,,,,,,,,,,,,,,,,,,,,,,,,0.135 BATTERY PK CTY,,,,,,,
PARK ROW/SPRUCE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 LOWER E. SIDE FDR DR,,
E BROADWAY/MARKET ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 BATTERY PK CTY,,,,,
CHAMBERS ST/HUDSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.376 BATTERY PK CTY,
MADISON ST/GRAND ST,,,,,,,,,,,0.61 LOWER E. SIDE FDR DR,,,,,,,,,,,,,,,,,,,,
MADISON ST/OLIVER ST,,,,,,,,,,,,,,,,,,,,,,0.291 LOWER E. SIDE FDR DR,,,,,,,,,
NORTH END AV/WARREN ST,,0.186 BATTERY PK CTY,,,,,,,,,,,,,,,,,,,,,,,,,0.393 LOWER E. SIDE FDR DR,,,,
MADISON ST/GOUVERNEUR ST,,,,,,1.126 LOWER E. SIDE FDR DR,,,0.0 LOWER E. SIDE FDR DR,,,,,0.097 BATTERY PK CTY,,,,,,,,,,,,,,,,,
CENTRE ST/CHAMBERS ST,,,,,,,,,,,,,,,0.217 BATTERY PK CTY,,,,,,,,,,,,,,,,
GRAND ST/FDR DR,,,,,,,,,,,,,,,,,0.302 BATTERY PK CTY,,,,,,,,,,,,,,
WORTH ST/MOTT ST,,,,,,,,,,,,,,,,,,,,0.348 BATTERY PK CTY,,,,,,,,,,,
MADISON ST/JACKSON ST,,,,,,,,,0.257 BATTERY PK CTY,,,,,,,,,,,,,,,,,,,,,,
MADISON ST/MONTGOMERY ST,,,,,,,,,0.097 LOWER E. SIDE FDR DR,,,,,,,,,,,,0.404 BATTERY PK CTY,,,,,,,,,,
CHAMBERS ST/BROADWAY,,,0.432 LOWER E. SIDE FDR DR,,,,,,,,,,,,,,,,,,,,0.163 BATTERY PK CTY,,,,,,,,
MADISON ST/JEFFERSON ST,0.13 BATTERY PK CTY,,,,,,,,,,,,,,,,,,,,0.682 LOWER E. SIDE FDR DR,,,,,,,,,,
JACKSON ST/MADISON ST,,,,,,,,,,,,,0.0 BATTERY PK CTY,,,,,,,,,,,,,,,,,,
CHAMBERS ST/W BROADWAY,,,,,,,,,,,,,,,,,,,,,,,0.123 LOWER E. SIDE FDR DR,,,,,,,,
ST JAMES PL/R F WAGNER SR PL,,,,,,,0.321 LOWER E. SIDE FDR DR,,,,,,,,,,,,,,,,,,,,,,,,
WORTH ST/CENTRE ST,,,,,,,,,,0.527 BATTERY PK CTY,,,,,,,,,,,,,,,,,,,,,
MADISON ST/CLINTON ST,,,,,,,,,,,,,,0.232 LOWER E. SIDE FDR DR,,0.198 BATTERY PK CTY,,,,,,,,,,,,,,,
MADISON ST/MARKET ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 LOWER E. SIDE FDR DR,,,
CHAMBERS ST/CHURCH ST,,,,,0.123 BATTERY PK CTY,,,,,,,,,,0.163 LOWER E. SIDE FDR DR,,,,,,,,,,,,,,,,
VESEY ST/NORTH END AV,,,,,,,,0.297 LOWER E. SIDE FDR DR,,,,,,,,,,,,,,,,,,,,,,,
FRANKFORT ST/PEARL ST,,,,,,,,,,,,,,,,,,,0.146 LOWER E. SIDE FDR DR,,,,,,,,,,,,
E BROADWAY/CATHERINE ST,,,,,,,,,,,,0.139 BATTERY PK CTY,,,,,,,,,,,,,,,,,,,
CHAMBERS ST/GREENWICH ST,,,,,,,,,,,,,,,,,,0.169 LOWER E. SIDE FDR DR,,,,,,,,,,,,,
MADISON ST/PIKE ST,0.192 LOWER E. SIDE FDR DR,,,0.334 BATTERY PK CTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANKFORT ST/WILLIAM ST,,,,,,,,,,,,,,,,,,,,,,,,,0.318 LOWER E. SIDE FDR DR,,,,,,
CHAMBERS ST/WEST ST,,,,,,,,0.186 BATTERY PK CTY,,,,,,,,,,,,,,,,,,,,,,,5.604 to depot of M22
Michael J. Quill Depot (MQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.961 BATTERY PK CTY,
