,AV C/E 20 ST,W 23 ST/AV OF THE AMERICAS,12 AV/W 23 ST,W 23 ST/9 AV,W 24 ST/11 AV,E 23 ST/2 AV,E 20 ST/E 20 ST LOOP,E 23 ST/3 AV,E 20 ST/1 AV,W 23 ST/8 AV,W 23 ST/11 AV,E 23 ST/PARK AV S,W 23 ST/10 AV,E 23 ST/BROADWAY,W 24 ST/12 AV,AVENUE C/E 23 ST,W 23 ST/7 AV,E 23 ST/1 AV,Michael J. Quill Depot (MQ)
AV C/E 20 ST,,,,,,,0.901 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,,,,,,,,,,,,
W 23 ST/AV OF THE AMERICAS,,,,,,,,,,,,,,0.435 SELECT BUS EAST SIDE AVENUE C CROSSTOWN,,,0.275 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,,
12 AV/W 23 ST,,,,,,,,,,,,,,,2.123 SELECT BUS EAST SIDE AVENUE C CROSSTOWN,,,,
W 23 ST/9 AV,,,,,,,,,,0.278 SELECT BUS EAST SIDE AVENUE C CROSSTOWN,,,0.27 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,,,,,,
W 24 ST/11 AV,,,0.342 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,,,,,,,,,,,,,,,,4.233 to depot of M23-SBS
E 23 ST/2 AV,,,,,,,,0.215 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,,,,,,,,,,0.23 SELECT BUS EAST SIDE AVENUE C CROSSTOWN,
E 20 ST/E 20 ST LOOP,,,,,,,,,0.231 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,,,,,,,,,,
E 23 ST/3 AV,,,,,,0.215 SELECT BUS EAST SIDE AVENUE C CROSSTOWN,,,,,,0.315 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,,,,,,,
E 20 ST/1 AV,,,,,,,,,,,,,,,,,,0.237 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,
W 23 ST/8 AV,,,,0.278 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,,,,,,,,,,,,,0.272 SELECT BUS EAST SIDE AVENUE C CROSSTOWN,,
W 23 ST/11 AV,,,,,0.084 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,,,,,,,,0.267 SELECT BUS EAST SIDE AVENUE C CROSSTOWN,,,,,,
E 23 ST/PARK AV S,,,,,,,,0.315 SELECT BUS EAST SIDE AVENUE C CROSSTOWN,,,,,,0.18 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,,,,,
W 23 ST/10 AV,,,,0.27 SELECT BUS EAST SIDE AVENUE C CROSSTOWN,,,,,,,0.267 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,,,,,,,,
E 23 ST/BROADWAY,,0.435 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,,,,,,,,,,0.18 SELECT BUS EAST SIDE AVENUE C CROSSTOWN,,,,,,,
W 24 ST/12 AV,,,,,,,,,,,0.276 SELECT BUS EAST SIDE AVENUE C CROSSTOWN,,,,,,,,
AVENUE C/E 23 ST,0.347 SELECT BUS EAST SIDE AVENUE C CROSSTOWN,,,,,,,,,,,,,,,,,,
W 23 ST/7 AV,,0.275 SELECT BUS EAST SIDE AVENUE C CROSSTOWN,,,,,,,,0.272 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,,,,,,,,,
E 23 ST/1 AV,,,,,,0.23 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,,,,,,,,,,0.331 SELECT BUS EAST SIDE AVENUE C CROSSTOWN,,,
Michael J. Quill Depot (MQ),,,,,1.297 SELECT BUS CHELSEA PIERS 12AV CROSSTOWN,,,,,,,,,,,,,,
