,YORK AV/E 82 ST,YORK AV/E 91 ST,YORK AV/E 86 ST,SUTTON PL/SUTTON SQ,SUTTON PL/E 58 ST,E 57 ST/LEXINGTON AV,W 57 ST/5 AV,YORK AV/E 64 ST,W 57 ST/8 AV,YORK AV/E 67 ST,YORK AV/E 62 ST,YORK AV/E 69 ST,E 57 ST/1 AV,EAST 92 ST/YORK AV,YORK AV/E 88 ST,YORK AV/E 84 ST,W 57 ST/10 AV,E 92 ST/YORK AV,YORK AV/E 72 ST,10 AV/W 55 ST,YORK AV/E 77 ST,W 54 ST/11 AV,W 57 ST/AV OF THE AMERICAS,E 57 ST/2 AV,W 57 ST/9 AV,1 AV/E 91 ST,YORK AV/E 60 ST,YORK AV/E 66 ST,E 57 ST/MADISON AV,YORK AV/E 74 ST,W 57 ST/7 AV,YORK AV/E 76 ST,E 57 ST/SUTTON PL,W 57 ST/BROADWAY,E 91 ST/YORK AV,E 57 ST/3 AV,YORK AV/E 79 ST,YORK AV/E 63 ST,Michael J. Quill Depot (MQ)
YORK AV/E 82 ST,,,,,,,,,,,,,,,,0.144 YORKVILLE 91 ST via YORK AV,,,,,,,,,,,,,,,,,,,,,0.253 CLINTON 11 AV via 57 ST,,
YORK AV/E 91 ST,,,,,,,,,,,,,,,0.156 CLINTON 11 AV via 57 ST,,,,,,,,,,,,,,,,,,,,,,,,
YORK AV/E 86 ST,,,,,,,,,,,,,,,0.257 YORKVILLE 91 ST via YORK AV,0.164 CLINTON 11 AV via 57 ST,,,,,,,,,,,,,,,,,,,,,,,
SUTTON PL/SUTTON SQ,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 YORKVILLE 91 ST via YORK AV,,,,,,,,,,,,
SUTTON PL/E 58 ST,,,,,,,,,,,,,0.276 CLINTON 11 AV via 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,
E 57 ST/LEXINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312 CLINTON 11 AV via 57 ST,,,,,,,0.152 YORKVILLE 91 ST via YORK AV,,,
W 57 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,0.312 CLINTON 11 AV via 57 ST,,,,,,0.154 YORKVILLE 91 ST via YORK AV,,,,,,,,,,
YORK AV/E 64 ST,,,,,,,,,,,0.111 CLINTON 11 AV via 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 57 ST/8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 YORKVILLE 91 ST via YORK AV,,,,,,,,
YORK AV/E 67 ST,,,,,,,,0.815 CLINTON 11 AV via 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YORK AV/E 62 ST,,,,,0.361 CLINTON 11 AV via 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YORK AV/E 69 ST,,,,,,,,,,0.209 CLINTON 11 AV via 57 ST,,,,,,,,,0.23 YORKVILLE 91 ST via YORK AV,,,,,,,,,,,,,,,,,,,,
E 57 ST/1 AV,,,,,,,,,,,,,,,,,,,,,,,,0.229 CLINTON 11 AV via 57 ST,,,,,,,,,0.218 YORKVILLE 91 ST via YORK AV,,,,,,
EAST 92 ST/YORK AV,,,,,,,,,,,,,,,,,,0.0 CLINTON 11 AV via 57 ST,,,,,,,,,,,,,,,,,,,,,
YORK AV/E 88 ST,,,0.257 CLINTON 11 AV via 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 YORKVILLE 91 ST via YORK AV,,,,
YORK AV/E 84 ST,0.144 CLINTON 11 AV via 57 ST,,0.164 YORKVILLE 91 ST via YORK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 57 ST/10 AV,,,,,,,,,,,,,,,,,,,,,,0.518 CLINTON 11 AV via 57 ST,,,0.274 YORKVILLE 91 ST via YORK AV,,,,,,,,,,,,,,
E 92 ST/YORK AV,,0.122 CLINTON 11 AV via 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YORK AV/E 72 ST,,,,,,,,,,,,0.23 CLINTON 11 AV via 57 ST,,,,,,,,,,,,,,,,,,0.145 YORKVILLE 91 ST via YORK AV,,,,,,,,,
10 AV/W 55 ST,,,,,,,,,,,,,,,,,0.164 YORKVILLE 91 ST via YORK AV,,,,,,,,,,,,,,,,,,,,,,
YORK AV/E 77 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 CLINTON 11 AV via 57 ST,,,,,,,,,
W 54 ST/11 AV,,,,,,,,,,,,,,,,,,,,0.355 YORKVILLE 91 ST via YORK AV,,,,,,,,,,,,,,,,,,,6.37 to depot of M31
W 57 ST/AV OF THE AMERICAS,,,,,,,0.312 YORKVILLE 91 ST via YORK AV,,,,,,,,,,,,,,,,,,,,,,,,0.273 CLINTON 11 AV via 57 ST,,,,,,,,
E 57 ST/2 AV,,,,,,,,,,,,,0.229 YORKVILLE 91 ST via YORK AV,,,,,,,,,,,,,,,,,,,,,,,0.216 CLINTON 11 AV via 57 ST,,,
W 57 ST/9 AV,,,,,,,,,0.274 YORKVILLE 91 ST via YORK AV,,,,,,,,0.274 CLINTON 11 AV via 57 ST,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 91 ST,,,,,,,,,,,,,,0.244 YORKVILLE 91 ST via YORK AV,,,,,,,,,,,,,,,,,,,,,,,,,
YORK AV/E 60 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 YORKVILLE 91 ST via YORK AV,
YORK AV/E 66 ST,,,,,,,,,,,,0.199 YORKVILLE 91 ST via YORK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 57 ST/MADISON AV,,,,,,0.312 YORKVILLE 91 ST via YORK AV,0.154 CLINTON 11 AV via 57 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YORK AV/E 74 ST,,,,,,,,,,,,,,,,,,,0.145 CLINTON 11 AV via 57 ST,,,,,,,,,,,,,0.225 YORKVILLE 91 ST via YORK AV,,,,,,,
