,E 23 ST/2 AV,E 34 ST/PARK AV,W 34 ST/8 AV,W 34 ST/HUDSON BL,E 23 ST/AV C,11 AV/W 34 ST,E 34 ST/1 AV,W 34 ST/7 AV,W 34 ST/DYER AV,W 34 ST/BROADWAY,W 34 ST/9 AV,W 34 ST/10 AV,WATERSIDE/WATERSIDE 2,FERRY TERMINAL/FDR DRIVE,W 34 ST/11 AV,E 34 ST/5 AV,E 34 ST/3 AV,FERRY TERMINAL/FDR DR,W 34 ST/5 AV,WATERSIDE/WATERSIDE,E 34 ST/2 AV,2 AV/E 28 ST,E 23 ST/1 AV,E 34 ST /1 AV,WATERSIDE/WATERSIDE 1,W 34 ST/12 AV,Michael J. Quill Depot (MQ)
E 23 ST/2 AV,,,,,,,,,,,,,,,,,,,,,,,0.23 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,,
E 34 ST/PARK AV,,,,,,,,,,,,,,,,,0.304 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,0.319 SELECT BUS JAVITS CTR 12 AV CROSSTOWN,,,,,,,,
W 34 ST/8 AV,,,,,,,,0.271 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,0.277 SELECT BUS JAVITS CTR 12 AV CROSSTOWN,,,,,,,,,,,,,,,,
W 34 ST/HUDSON BL,,,,,,0.162 SELECT BUS JAVITS CTR 12 AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,
E 23 ST/AV C,,,,,,,,,,,,,,,,,,,,,,,,1.086 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,
11 AV/W 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.344 SELECT BUS JAVITS CTR 12 AV CROSSTOWN,
E 34 ST/1 AV,,,,,,,,,,,,,,,,,,,,,0.228 SELECT BUS JAVITS CTR 12 AV CROSSTOWN,,,,,,
W 34 ST/7 AV,,,0.271 SELECT BUS JAVITS CTR 12 AV CROSSTOWN,,,,,,,0.257 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,,,,,,,,,,,,,,,
W 34 ST/DYER AV,,,,0.305 SELECT BUS JAVITS CTR 12 AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,
W 34 ST/BROADWAY,,,,,,,,0.257 SELECT BUS JAVITS CTR 12 AV CROSSTOWN,,,,,,,,0.327 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,,,,,,,,,
W 34 ST/9 AV,,,0.277 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,,,,0.12 SELECT BUS JAVITS CTR 12 AV CROSSTOWN,,,,,,,,,,,,,,,,,,
W 34 ST/10 AV,,,,,,,,,,,0.272 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,,,,,,,,,,,,,,4.125 to depot of M34-SBS
WATERSIDE/WATERSIDE 2,,,,,,,,,,,,,,3.027 SELECT BUS JAVITS CTR 12 AV CROSSTOWN,,,,,,,,,,,,,
FERRY TERMINAL/FDR DRIVE,,,,,,,1.776 SELECT BUS JAVITS CTR 12 AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,
W 34 ST/11 AV,,,,,,,,,,,,0.273 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,,,,,,,,,,,,,
E 34 ST/5 AV,,0.319 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,
E 34 ST/3 AV,,0.304 SELECT BUS JAVITS CTR 12 AV CROSSTOWN,,,,,,,,,,,,,,,,,,,0.215 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,,,,
FERRY TERMINAL/FDR DR,,,,,,,,,,,,,,,,,,,,1.335 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,,,,,
W 34 ST/5 AV,,,,,,,,,,0.327 SELECT BUS JAVITS CTR 12 AV CROSSTOWN,,,,,,,,,,,,,,,,,
WATERSIDE/WATERSIDE,,,,,,,,,,,,,,,,,,,,,,,,,0.061 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,
E 34 ST/2 AV,,,,,,,,,,,,,,,,,0.215 SELECT BUS JAVITS CTR 12 AV CROSSTOWN,,,,,1.058 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,,,
2 AV/E 28 ST,0.402 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,
E 23 ST/1 AV,,,,,0.331 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,
E 34 ST /1 AV,,,,,,,,,,,,,,,,,,0.211 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,,,,,,,
WATERSIDE/WATERSIDE 1,,,,,,,,,,,,,0.105 SELECT BUS JAVITS CTR 12 AV CROSSTOWN,,,,,,,,,,,,,,
W 34 ST/12 AV,,,,,,,,,,,,,,,0.272 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,,,,,,,,,,
Michael J. Quill Depot (MQ),,,,,,,,,,,,0.773 SELECT BUS EAST SIDE FDR DR CROSSTOWN,,,,,,,,,,,,,,,
