,WATERSIDE/WATERSIDE,9 AV/W 42 ST,8 AV/W 41 ST,W 43 ST/9 AV,WATERSIDE/WATERSIDE 2,WATERSIDE/WATERSIDE 1,E 34 ST/1 AV,8 AV/W 34 ST,W 34 ST/7 AV,W 34 ST/8 AV,E 34 ST/3 AV,E 23 ST/2 AV,W 34 ST/5 AV,E 23 ST/1 AV,2 AV/E 28 ST,W 34 ST/BROADWAY,E 23 ST/AV C,9 AV/W 40 ST,E 34 ST/5 AV,W 34 ST/9 AV,E 34 ST/2 AV,E 34 ST/PARK AV,8 AV/W 37 ST,W 43 ST/8 AV,Michael J. Quill Depot (MQ)
WATERSIDE/WATERSIDE,,,,,,0.061 SELECT BUS PA BUS TRM via 34 ST via 8 AV,,,,,,,,,,,,,,,,,,,
9 AV/W 42 ST,,,,,,,,,,,,,,,,,,0.165 SELECT BUS WATERSIDE via 34 ST via 2 AV,,,,,,,
8 AV/W 41 ST,,,,,,,,,,,,,,,,,,,,,,,,0.17 SELECT BUS PA BUS TRM via 34 ST via 8 AV,
W 43 ST/9 AV,,0.085 SELECT BUS PA BUS TRM via 34 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,,1.443 to depot of M34A-SBS
WATERSIDE/WATERSIDE 2,,,,,,,0.603 SELECT BUS PA BUS TRM via 34 ST via 8 AV,,,,,,,,,,,,,,,,,,
WATERSIDE/WATERSIDE 1,,,,,0.105 SELECT BUS PA BUS TRM via 34 ST via 8 AV,,,,,,,,,,,,,,,,,,,,
E 34 ST/1 AV,,,,,,,,,,,,,,,,,,,,,0.228 SELECT BUS PA BUS TRM via 34 ST via 8 AV,,,,
8 AV/W 34 ST,,,,,,,,,,,,,,,,,,,,,,,0.202 SELECT BUS PA BUS TRM via 34 ST via 8 AV,,
W 34 ST/7 AV,,,,,,,,0.263 SELECT BUS PA BUS TRM via 34 ST via 8 AV,,,,,,,,0.257 SELECT BUS WATERSIDE via 34 ST via 2 AV,,,,,,,,,
W 34 ST/8 AV,,,,,,,,,0.271 SELECT BUS WATERSIDE via 34 ST via 2 AV,,,,,,,,,,,,,,,,
E 34 ST/3 AV,,,,,,,,,,,,,,,,,,,,,0.215 SELECT BUS WATERSIDE via 34 ST via 2 AV,0.304 SELECT BUS PA BUS TRM via 34 ST via 8 AV,,,
E 23 ST/2 AV,,,,,,,,,,,,,,0.23 SELECT BUS WATERSIDE via 34 ST via 2 AV,,,,,,,,,,,
W 34 ST/5 AV,,,,,,,,,,,,,,,,0.327 SELECT BUS PA BUS TRM via 34 ST via 8 AV,,,,,,,,,
E 23 ST/1 AV,,,,,,,,,,,,,,,,,0.331 SELECT BUS WATERSIDE via 34 ST via 2 AV,,,,,,,,
2 AV/E 28 ST,,,,,,,,,,,,0.402 SELECT BUS WATERSIDE via 34 ST via 2 AV,,,,,,,,,,,,,
W 34 ST/BROADWAY,,,,,,,,,0.257 SELECT BUS PA BUS TRM via 34 ST via 8 AV,,,,,,,,,,0.327 SELECT BUS WATERSIDE via 34 ST via 2 AV,,,,,,
E 23 ST/AV C,0.295 SELECT BUS WATERSIDE via 34 ST via 2 AV,,,,,,,,,,,,,,,,,,,,,,,,
9 AV/W 40 ST,,,,,,,,,,,,,,,,,,,,0.478 SELECT BUS WATERSIDE via 34 ST via 2 AV,,,,,
E 34 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,0.319 SELECT BUS WATERSIDE via 34 ST via 2 AV,,,
W 34 ST/9 AV,,,,,,,,,,0.277 SELECT BUS WATERSIDE via 34 ST via 2 AV,,,,,,,,,,,,,,,
E 34 ST/2 AV,,,,,,,,,,,0.215 SELECT BUS PA BUS TRM via 34 ST via 8 AV,,,,1.058 SELECT BUS WATERSIDE via 34 ST via 2 AV,,,,,,,,,,
E 34 ST/PARK AV,,,,,,,,,,,0.304 SELECT BUS WATERSIDE via 34 ST via 2 AV,,0.319 SELECT BUS PA BUS TRM via 34 ST via 8 AV,,,,,,,,,,,,
8 AV/W 37 ST,,,0.315 SELECT BUS PA BUS TRM via 34 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,,
W 43 ST/8 AV,,,,0.274 SELECT BUS PA BUS TRM via 34 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,
Michael J. Quill Depot (MQ),,,,0.977 SELECT BUS PA BUS TRM via 34 ST via 8 AV,,,,,,,,,,,,,,,,,,,,,
