,E 124 ST/2 AV,MAIN RDY/ICAHN STADIUM,MAIN RDY/OPP GOLF CTR PARKING,MAIN RWDY/TENNIS CENTER 2,HELL GATE CIRCLE/OPP ODYSSEY HOUSE,MAIN RWDY/TENNIS CENTER 1,HELL GATE CIRCLE/NR TOM CLARKE BLDG,SUNKEN GARDEN LOOP/CHARLES H GAY CTR,SUNKEN GARDEN LOOP/EMPLOYMENT CTR,LEXINGTON AV/E 125 ST,E 126 ST/3 AV,MAIN RDWY/T.B.T.A.,HELL GATE CIRCLE/FIELD 61,E 126 ST/2 AV,MAIN ROADWAY/ MANHATTAN PSYC CTR,MAIN RDY/OPP CLARKE THOMAS BLDG,SUNKEN GARDEN LOOP/CHARLES GAY CTR,HELL GATE CIRCLE/CENTRAL RD,MAIN RDY/OPP PARK & RECREATION,MAIN RDY/AFTER EXIT RAMP,E 124 ST/3 AV,MAIN RWDY/OPP ICAHN STADIUM,Michael J. Quill Depot (MQ)
E 124 ST/2 AV,,,,,,,,,,,,,,,,,,,,2.499 RANDALLS IS WARDS IS,,,
MAIN RDY/ICAHN STADIUM,,,,,,,,,,,,,,,0.399 RANDALLS IS WARDS IS,,,,,,,,
MAIN RDY/OPP GOLF CTR PARKING,,5.981 RANDALLS IS WARDS IS,,,,,,,,,,,,,,,,,,,,,
MAIN RWDY/TENNIS CENTER 2,,,,,,,,,,,,,,,,,,,18.72 HARLEM LEX AV-125 ST,,,,
HELL GATE CIRCLE/OPP ODYSSEY HOUSE,,,,,,,,,,,,,0.253 HARLEM LEX AV-125 ST,,,,,,,,,,
MAIN RWDY/TENNIS CENTER 1,,,,10.917 HARLEM LEX AV-125 ST,,,,,,,,,,,,,,,,,,,17.327 to depot of M35
HELL GATE CIRCLE/NR TOM CLARKE BLDG,,,,,0.156 HARLEM LEX AV-125 ST,,,,,,,,,,,,,,,,,,
SUNKEN GARDEN LOOP/CHARLES H GAY CTR,,,,,,,0.493 HARLEM LEX AV-125 ST,,,,,,,,,,,,,,,,
SUNKEN GARDEN LOOP/EMPLOYMENT CTR,,,,,,,,,,,,,,,,,0.124 RANDALLS IS WARDS IS,,,,,,
LEXINGTON AV/E 125 ST,,,,,,,,,,,,,,,,,,,,,0.255 RANDALLS IS WARDS IS,,
E 126 ST/3 AV,,,,,,,,,,0.225 HARLEM LEX AV-125 ST,,,,,,,,,,,,,
MAIN RDWY/T.B.T.A.,,,,,,,,,,,,,,1.78 HARLEM LEX AV-125 ST,,,,,,,,,
HELL GATE CIRCLE/FIELD 61,,,,,,,,,,,,,,,,,,0.485 HARLEM LEX AV-125 ST,,,,,
E 126 ST/2 AV,,,,,,,,,,,0.213 HARLEM LEX AV-125 ST,,,,,,,,,,,,
MAIN ROADWAY/ MANHATTAN PSYC CTR,,,,,,,,,,,,,,,,0.643 RANDALLS IS WARDS IS,,,,,,,
MAIN RDY/OPP CLARKE THOMAS BLDG,,,,,,,,,0.143 RANDALLS IS WARDS IS,,,,,,,,,,,,,,
SUNKEN GARDEN LOOP/CHARLES GAY CTR,,,,,,,,0.0 HARLEM LEX AV-125 ST,,,,,,,,,,,,,,,
HELL GATE CIRCLE/CENTRAL RD,,,,,,,,,,,,,,,,,,,,,,2.849 HARLEM LEX AV-125 ST,
MAIN RDY/OPP PARK & RECREATION,,,,,,,,,,,,19.451 HARLEM LEX AV-125 ST,,,,,,,,,,,
MAIN RDY/AFTER EXIT RAMP,,,0.238 RANDALLS IS WARDS IS,,,,,,,,,,,,,,,,,,,,
E 124 ST/3 AV,0.232 RANDALLS IS WARDS IS,,,,,,,,,,,,,,,,,,,,,,
MAIN RWDY/OPP ICAHN STADIUM,,,,,,8.636 HARLEM LEX AV-125 ST,,,,,,,,,,,,,,,,,
Michael J. Quill Depot (MQ),,,,,,11.058 HARLEM LEX AV-125 ST,,,,,,,,,,,,,,,,,
