,E 42 ST/3 AV,W 42 ST/12 AV,E 42 ST/2 AV,E 42 ST/MADISON AV,W 42 ST/8 AV,W 42 ST/10 AV,E 42 ST/1 AV,E 42 ST/PARK AV,W 42 ST/AV OF THE AMERICAS,W 42 ST/BROADWAY,W 42 ST/6 AV,E 41 ST/1 AV,12 AV/W 42 ST,W 42 ST/11 AV,W 42 ST/9 AV,W 42 ST/5 AV,12 AV/42 ST,W 42 ST/7 AV,Michael J. Quill Depot (MQ)
E 42 ST/3 AV,,,0.217 EAST SIDE U N-1 AV CROSSTOWN,,,,,0.322 WEST SIDE PIER 12 AV CROSSTOWN,,,,,,,,,,,
W 42 ST/12 AV,,,,,,,,,,,,,,0.55 EAST SIDE U N-1 AV CROSSTOWN,,,,,
E 42 ST/2 AV,0.217 WEST SIDE PIER 12 AV CROSSTOWN,,,,,,0.217 EAST SIDE U N-1 AV CROSSTOWN,,,,,,,,,,,,
E 42 ST/MADISON AV,,,,,,,,0.143 EAST SIDE U N-1 AV CROSSTOWN,,,,,,,,0.155 WEST SIDE PIER 12 AV CROSSTOWN,,,
W 42 ST/8 AV,,,,,,,,,,,,,,,0.273 WEST SIDE PIER 12 AV CROSSTOWN,,,0.274 EAST SIDE U N-1 AV CROSSTOWN,
W 42 ST/10 AV,,,,,,,,,,,,,,0.287 WEST SIDE PIER 12 AV CROSSTOWN,0.274 EAST SIDE U N-1 AV CROSSTOWN,,,,1.245 to depot of M42
E 42 ST/1 AV,,,0.228 WEST SIDE PIER 12 AV CROSSTOWN,,,,,,,,,0.359 EAST SIDE U N-1 AV CROSSTOWN,,,,,,,
E 42 ST/PARK AV,0.322 EAST SIDE U N-1 AV CROSSTOWN,,,0.143 WEST SIDE PIER 12 AV CROSSTOWN,,,,,,,,,,,,,,,
W 42 ST/AV OF THE AMERICAS,,,,,,,,,,0.223 WEST SIDE PIER 12 AV CROSSTOWN,,,,,,,,,
W 42 ST/BROADWAY,,,,,,,,,,,0.223 EAST SIDE U N-1 AV CROSSTOWN,,,,,,,0.052 WEST SIDE PIER 12 AV CROSSTOWN,
W 42 ST/6 AV,,,,,,,,,,,,,,,,0.31 EAST SIDE U N-1 AV CROSSTOWN,,,
E 41 ST/1 AV,,,,,,,0.95 WEST SIDE PIER 12 AV CROSSTOWN,,,,,,,,,,,,
12 AV/W 42 ST,,,,,,,,,,,,,,,,,0.032 EAST SIDE U N-1 AV CROSSTOWN,,
W 42 ST/11 AV,,,,,,0.275 EAST SIDE U N-1 AV CROSSTOWN,,,,,,,0.445 WEST SIDE PIER 12 AV CROSSTOWN,,,,,,
W 42 ST/9 AV,,,,,0.273 EAST SIDE U N-1 AV CROSSTOWN,0.274 WEST SIDE PIER 12 AV CROSSTOWN,,,,,,,,,,,,,
W 42 ST/5 AV,,,,0.155 EAST SIDE U N-1 AV CROSSTOWN,,,,,0.31 WEST SIDE PIER 12 AV CROSSTOWN,,,,,,,,,,
12 AV/42 ST,,0.177 EAST SIDE U N-1 AV CROSSTOWN,,,,,,,,,,,,,,,,,
W 42 ST/7 AV,,,,,0.274 WEST SIDE PIER 12 AV CROSSTOWN,,,,,0.052 EAST SIDE U N-1 AV CROSSTOWN,,,,,,,,,
Michael J. Quill Depot (MQ),,,,,,0.459 EAST SIDE U N-1 AV CROSSTOWN,,,,,,,,,,,,,
