,W 49 ST/11 AV,W 50 ST/11 AV,12 AV/W 43 ST,E 49 ST/1 AV,W 50 ST/8 AV,W 49 ST/12 AV,12 AV/W 42 ST,E 49 ST/MADISON AV,12 AV/W 46 ST,E 49 ST/2 AV,W 50 ST/9 AV,W 50 ST/AV OF THE AMERICAS,12 AV/W 48 ST,W 49 ST/8 AV,W 49 ST/10 AV,W 49 ST/9 AV,E 49 ST/3 AV,W 50 ST/7 AV,49 ST/1 AV,W 50 ST/12 AV,W 49 ST/5 AV,W 50 ST/10 AV,W 49 ST/AV OF THE AMERICAS,E 49 ST/LEXINGTON AV,12 AV/42 ST,E 50 ST/MADISON AV,E 50 ST/5 AV,E 50 ST/LEXINGTON AV,E 50 ST/2 AV,W 49 ST/7 AV,E 50 ST/3 AV,Michael J. Quill Depot (MQ)
W 49 ST/11 AV,,,,,,0.217 WEST SIDE 42 ST PIER CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,
W 50 ST/11 AV,,,,,,,,,,,,,,,,,,,,,,0.275 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,,,,,,
12 AV/W 43 ST,,,,,,,,,0.94 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,
E 49 ST/1 AV,,,,,,,,,,0.222 WEST SIDE 42 ST PIER CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,
W 50 ST/8 AV,,,,,,,,,,,,,,,,,,0.274 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,,,,,,,,,,
W 49 ST/12 AV,,,,,,,,,0.278 WEST SIDE 42 ST PIER CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,
12 AV/W 42 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.032 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,,,
E 49 ST/MADISON AV,,,,,,,,,,,,,,,,,,,,,0.154 WEST SIDE 42 ST PIER CROSSTOWN,,,,,,,,,,,
12 AV/W 46 ST,,,,,,,0.48 WEST SIDE 42 ST PIER CROSSTOWN,,,,,,2.115 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,,,,,,,,,,,,,,,
E 49 ST/2 AV,,,,,,,,,,,,,,,,,0.219 WEST SIDE 42 ST PIER CROSSTOWN,,,,,,,,,,,,,,,
W 50 ST/9 AV,,,,,0.275 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 50 ST/AV OF THE AMERICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,
12 AV/W 48 ST,,,,,,,,,,,,,,,,,,,,1.009 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,,,,,,,,
W 49 ST/8 AV,,,,,,,,,,,,,,,,0.276 WEST SIDE 42 ST PIER CROSSTOWN,,,,,,,,,,,,,,,,
W 49 ST/10 AV,0.275 WEST SIDE 42 ST PIER CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 49 ST/9 AV,,,,,,,,,,,,,,,0.271 WEST SIDE 42 ST PIER CROSSTOWN,,,,,,,,,,,,,,,,,
E 49 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,0.153 WEST SIDE 42 ST PIER CROSSTOWN,,,,,,,,
W 50 ST/7 AV,,,,,,,,,,,,0.317 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,
49 ST/1 AV,,,,0.0 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 50 ST/12 AV,,0.217 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 49 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,0.313 WEST SIDE 42 ST PIER CROSSTOWN,,,,,,,,,
W 50 ST/10 AV,,,,,,,,,,,0.272 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,
W 49 ST/AV OF THE AMERICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 WEST SIDE 42 ST PIER CROSSTOWN,,
E 49 ST/LEXINGTON AV,,,,,,,,0.31 WEST SIDE 42 ST PIER CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,
12 AV/42 ST,,,0.285 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57 to depot of M50
E 50 ST/MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.312 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,
E 50 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,,
E 50 ST/LEXINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 EAST SIDE 49 ST-1 AV CROSSTOWN,
E 50 ST/2 AV,,,,,,,,,,,,,,,,,,,0.451 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,,,,,,,,,
W 49 ST/7 AV,,,,,,,,,,,,,,0.272 WEST SIDE 42 ST PIER CROSSTOWN,,,,,,,,,,,,,,,,,,
E 50 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.218 EAST SIDE 49 ST-1 AV CROSSTOWN,,,
Michael J. Quill Depot (MQ),,,,,,,,,,,,,,,,,,,,,,,,,1.028 EAST SIDE 49 ST-1 AV CROSSTOWN,,,,,,,
