,CHURCH ST/WARREN ST,AV OF THE AMERICAS/W HOUSTON ST,AV OF THE AMERICAS/BROOME ST,AV OF THE AMERICAS/W 18 ST,5 AV/W 38 ST,5 AV/W 13 ST,5 AV/W 12 ST,BROADWAY/GRAND ST,5 AV/W 20 ST,AV OF THE AMERICAS/WAVERLY PL,E 8 ST/MERCER ST,BROADWAY/BARCLAY ST,BROADWAY/BLEECKER ST,STATE ST/BRIDGE ST,AV OF THE AMERICAS/W 40 ST,BROADWAY/WALKER ST,AV OF THE AMERICAS/WHITE ST,CHURCH ST/VESEY ST,AV OF THE AMERICAS/W 20 ST,CHURCH ST/LIBERTY ST,5 AV/W 17 ST,AV OF THE AMERICAS/THOMPSON ST,AV OF THE AMERICAS/W 23 ST,W 44 ST/6 AV,BROADWAY/CORTLANDT ST,AV OF THE AMERICAS/W 3 ST,AV OF THE AMERICAS/WEST BROADWAY,E 8 ST/5 AV,TRINITY PL/RECTOR ST,BROADWAY/PARK PL,5 AV/W 41 ST,AV OF THE AMERICAS/W 31 ST,BROADWAY/RECTOR ST,E 8 ST/UNIVERSITY PL,BROADWAY/W HOUSTON ST,AV OF THE AMERICAS/PRINCE ST,AV OF THE AMERICAS/W 10 ST,AV OF THE AMERICAS/W 34 ST,BROADWAY/THOMAS ST,GREENWICH ST/MORRIS ST,5 AV/W 35 ST,CHURCH ST/CHAMBERS ST,5 AV/W 33 ST,BROADWAY/PRINCE ST,CHURCH ST/WORTH ST,5 AV/W 29 ST,BROADWAY/W 3 ST,AV OF THE AMERICAS/W 15 ST,BROADWAY/WAVERLY PL,5 AV/W 31 ST,AV OF THE AMERICAS/W 29 ST,5 AV/W 23 ST,BROADWAY/SPRING ST,BROADWAY/FRANKLIN ST,5 AV/W 10 ST,5 AV/W 26 ST,BROADWAY/WARREN ST,AV OF THE AMERICAS/SPRING ST,AV OF THE AMERICAS/W 27 ST,STATE ST/WHITEHALL ST,AV OF THE AMERICAS/W 42 ST,AV OF THE AMERICAS/W 38 ST,AV OF THE AMERICAS/W 12 ST,Michael J. Quill Depot (MQ)
CHURCH ST/WARREN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/W HOUSTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.364 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/BROOME ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.618 44 ST 6 AV,,,,,,
AV OF THE AMERICAS/W 18 ST,,,,,,,,,,,,,,,,,,,0.15 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 38 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 13 ST,,,,,,,0.082 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 12 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 SOUTH FERRY,,,,,,,,,
BROADWAY/GRAND ST,,,,,,,,,,,,,,,,0.295 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 20 ST,,,,,,,,,,,,,,,,,,,,,0.224 SOUTH FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV OF THE AMERICAS/WAVERLY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.209 44 ST 6 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 8 ST/MERCER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 SOUTH FERRY,,,,,,,,,,,,,,,
