,WEST END AV/WEST 70 ST,E 57 ST/MADISON AV,WEST END AV/W 69 ST,W 57 ST/9 AV,W 57 ST/11 AV,W 72 ST/BROADWAY,E 57 ST/3 AV,E 57 ST/1 AV,WEST END AV/W 72 ST,W 57 ST/BROADWAY,WEST END AV/W 66 ST,1 AV/E 60 ST,SUTTON PL/E 58 ST,E 60 ST/YORK AV,WEST END AV/W 61 ST,SUTTON PLACE/E 55 ST,1 AV/E 57 ST,W 72 ST/WEST END AV,W 57 ST/8 AV,E 57 ST/LEXINGTON AV,W 57 ST/7 AV,E 55 ST/1 AV,WEST END AV/W 59 ST,W 57 ST/5 AV,E 57 ST/2 AV,WEST END AV/W 64 ST,W 57 ST/10 AV,W 57 ST/AV OF THE AMERICAS,11 AV/W 58 ST,Michael J. Quill Depot (MQ)
WEST END AV/WEST 70 ST,,,,,,,,,,,,,,,,,,0.169 WEST SIDE BROADWAY-72 ST CROSSTOWN,,,,,,,,,,,,
E 57 ST/MADISON AV,,,,,,,,,,,,,,,,,,,,0.312 EAST SIDE YORK-60 ST CROSSTOWN,,,,0.154 WEST SIDE BROADWAY-72 ST CROSSTOWN,,,,,,
WEST END AV/W 69 ST,0.101 WEST SIDE BROADWAY-72 ST CROSSTOWN,,,,,,,,,,0.212 EAST SIDE YORK-60 ST CROSSTOWN,,,,,,,,,,,,,,,,,,,
W 57 ST/9 AV,,,,,,,,,,,,,,,,,,,0.274 EAST SIDE YORK-60 ST CROSSTOWN,,,,,,,,0.274 WEST SIDE BROADWAY-72 ST CROSSTOWN,,,
W 57 ST/11 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 EAST SIDE YORK-60 ST CROSSTOWN,,,2.713 to depot of M57
W 72 ST/BROADWAY,,,,,,,,,0.232 EAST SIDE YORK-60 ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,
E 57 ST/3 AV,,,,,,,,,,,,,,,,,,,,0.152 WEST SIDE BROADWAY-72 ST CROSSTOWN,,,,,0.216 EAST SIDE YORK-60 ST CROSSTOWN,,,,,
E 57 ST/1 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.229 WEST SIDE BROADWAY-72 ST CROSSTOWN,,,,,
WEST END AV/W 72 ST,,,0.269 EAST SIDE YORK-60 ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 57 ST/BROADWAY,,,,0.369 WEST SIDE BROADWAY-72 ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST END AV/W 66 ST,,,0.212 WEST SIDE BROADWAY-72 ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,0.162 EAST SIDE YORK-60 ST CROSSTOWN,,,,
1 AV/E 60 ST,,,,,,,,,,,,,,0.215 EAST SIDE YORK-60 ST CROSSTOWN,,,,,,,,,,,,,,,,
SUTTON PL/E 58 ST,,,,,,,,,,,,,,,,0.432 WEST SIDE BROADWAY-72 ST CROSSTOWN,,,,,,,,,,,,,,
E 60 ST/YORK AV,,,,,,,,,,,,,0.185 WEST SIDE BROADWAY-72 ST CROSSTOWN,,,,,,,,,,,,,,,,,
WEST END AV/W 61 ST,,,,,,,,,,,,,,,,,,,,,,,0.158 EAST SIDE YORK-60 ST CROSSTOWN,,,0.239 WEST SIDE BROADWAY-72 ST CROSSTOWN,,,,
SUTTON PLACE/E 55 ST,,,,,,,,,,,,,,,,,,,,,,0.008 WEST SIDE BROADWAY-72 ST CROSSTOWN,,,,,,,,
