,BROADWAY/W 120 ST,LGA/TERMINAL D,LGA/TERMINAL C,ASTORIA BLVD / 31ST ST,HOYT AV/31 ST,ASTORIA BL S/STEINWAY ST,W 106 ST/BROADWAY,ASTORIA BL S/77 ST,DITMARS BL/GRAND CENTRAL PY,AMSTERDAM AV/LA SALLE ST,AMSTERDAM AV/W 120 ST,E 125 ST/2 AV,23 AV/82 ST,LGA/TERMINAL B,W 125 ST/FRED DOUGLASS BL,ASTORIA BL/STEINWAY ST,BROADWAY/W 116 ST,W 125 ST/MALCOLM X BL,LGA/TERMINAL A,BROADWAY/W 106 ST,ASTORIA BL N/77 ST,DITMARS BL/MARINE TERMINAL RD,E 125 ST/LEXINGTON AV,23 AV/87 ST,E 125 ST/PARK AV,W 125 ST/ST NICHOLAS AV,E 125 ST/MADISON AV,94 ST/23 AV,BROADWAY/WEST 120 ST,W 125 ST/MALCOLM X  BL,AMSTERDAM AV/W 125 ST,Michael J. Quill Depot (MQ)
BROADWAY/W 120 ST,,,,,,,,,,,0.303 SELECT BUS LA GUARDIA AIRPORT,,,,,,,,,,,,,,,,,,,,,
LGA/TERMINAL D,,,0.364 SELECT BUS WEST SIDE BROADWAY-106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGA/TERMINAL C,,,,,,,,,,,,,,,,,,,,,,2.242 SELECT BUS WEST SIDE BROADWAY-106 ST,,,,,,,,,,
ASTORIA BLVD / 31ST ST,,,,,,0.619 SELECT BUS LA GUARDIA AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,
HOYT AV/31 ST,,,,,,,,,,,,4.907 SELECT BUS WEST SIDE BROADWAY-106 ST,,,,,,,,,,,,,,,,,,,,
ASTORIA BL S/STEINWAY ST,,,,,,,,1.653 SELECT BUS LA GUARDIA AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,
W 106 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,1.121 SELECT BUS LA GUARDIA AIRPORT,,,,,,,,,,,,
ASTORIA BL S/77 ST,,,,,,,,,,,,,0.423 SELECT BUS LA GUARDIA AIRPORT,,,,,,,,,,,,,,,,,,,
DITMARS BL/GRAND CENTRAL PY,,,,,,,,,,,,,,,,,,,,,0.376 SELECT BUS WEST SIDE BROADWAY-106 ST,,,,,,,,,,,
AMSTERDAM AV/LA SALLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.53 SELECT BUS LA GUARDIA AIRPORT,,,,,,
AMSTERDAM AV/W 120 ST,,,,,,,,,,0.398 SELECT BUS LA GUARDIA AIRPORT,,,,,,,,,,,,,,,,,,,0.346 SELECT BUS WEST SIDE BROADWAY-106 ST,,,
E 125 ST/2 AV,,,,4.752 SELECT BUS LA GUARDIA AIRPORT,,,,,,,,,,,,,,,,,,,0.371 SELECT BUS WEST SIDE BROADWAY-106 ST,,,,,,,,,
23 AV/82 ST,,,,,,,,,,,,,,,,,,,,,,,,0.395 SELECT BUS LA GUARDIA AIRPORT,,,,,,,,
LGA/TERMINAL B,,2.285 SELECT BUS LA GUARDIA AIRPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/FRED DOUGLASS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.573 SELECT BUS WEST SIDE BROADWAY-106 ST,
ASTORIA BL/STEINWAY ST,,,,,1.181 SELECT BUS WEST SIDE BROADWAY-106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 116 ST,0.339 SELECT BUS LA GUARDIA AIRPORT,,,,,,0.887 SELECT BUS WEST SIDE BROADWAY-106 ST,,,,,,,,,,,,,,,,,,,,,,,,,
W 125 ST/MALCOLM X BL,,,,,,,,,,,,,,,0.589 SELECT BUS WEST SIDE BROADWAY-106 ST,,,,,,,,,,,,,,,,,
LGA/TERMINAL A,,,,,,,,,3.617 SELECT BUS WEST SIDE BROADWAY-106 ST,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 106 ST,,,,,,,,,,,,,,,,,0.764 SELECT BUS LA GUARDIA AIRPORT,,,,,,,,,,,,,,,10.249 to depot of M60-SBS
ASTORIA BL N/77 ST,,,,,,,,,,,,,,,,2.098 SELECT BUS WEST SIDE BROADWAY-106 ST,,,,,,,,,,,,,,,,
DITMARS BL/MARINE TERMINAL RD,,,,,,,,,,,,,,,,,,,1.684 SELECT BUS WEST SIDE BROADWAY-106 ST,,,,,,,,,,,,,
E 125 ST/LEXINGTON AV,,,,,,,,,,,,0.371 SELECT BUS LA GUARDIA AIRPORT,,,,,,,,,,,,,0.142 SELECT BUS WEST SIDE BROADWAY-106 ST,,,,,,,
23 AV/87 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.117 SELECT BUS LA GUARDIA AIRPORT,,,,
E 125 ST/PARK AV,,,,,,,,,,,,,,,,,,0.593 SELECT BUS WEST SIDE BROADWAY-106 ST,,,,,,,,,,,,,,
W 125 ST/ST NICHOLAS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.728 SELECT BUS LA GUARDIA AIRPORT,,
E 125 ST/MADISON AV,,,,,,,,,,,,,,,,,,,,,,,0.31 SELECT BUS LA GUARDIA AIRPORT,,,,,,,,,
