,W 65 ST/BROADWAY,E 67 ST/LEXINGTON AV,W 65 ST/CENTRAL PK W,E 68 ST/LEXINGTON AV,E 68 ST/1 AV,E 67 ST/3 AV,E 65 ST/5 AV,E 67 ST/1 AV,5 AV/E  67 ST,E 68 ST/3 AV,E 68 ST/2 AV,W 65 ST/AMSTERDAM AV,E 67 ST/YORK AV,W 66 ST/AMSTERDAM AV,E 68 ST/MADISON AV,EAST 68 ST/YORK AV,MADISON AV/E 65 ST,E 67 ST/2 AV,W 66 ST/CENTRAL PK W,W 66 ST/BROADWAY,W 65 ST/COLUMBUS AV,W 66 ST/WEST END AV,W 66 ST/COLUMBUS AV,W 65 ST/WEST END AV,E 67 ST/MADISON AV,Michael J. Quill Depot (MQ)
W 65 ST/BROADWAY,,,,,,,,,,,,,,,,,,,,,0.045 EAST SIDE YORK AV CROSSTOWN,,,,,
E 67 ST/LEXINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,0.31 LINCOLN CENTER WEST END AV CROSSTOWN,
W 65 ST/CENTRAL PK W,,,,,,,0.907 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,,,,,,
E 68 ST/LEXINGTON AV,,,,,,,,,,0.154 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,,,
E 68 ST/1 AV,,,,,,,,,,,,,,,,0.218 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,
E 67 ST/3 AV,,0.155 LINCOLN CENTER WEST END AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,
E 65 ST/5 AV,,,,,,,,,,,,,,,,,0.215 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,
E 67 ST/1 AV,,,,,,,,,,,,,,,,,,0.229 LINCOLN CENTER WEST END AV CROSSTOWN,,,,,,,,
5 AV/E  67 ST,,,,,,,,,,,,,,,,,,,0.978 LINCOLN CENTER WEST END AV CROSSTOWN,,,,,,,
E 68 ST/3 AV,,,,,,,,,,,0.215 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,,
E 68 ST/2 AV,,,,,0.229 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,
W 65 ST/AMSTERDAM AV,0.225 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,
E 67 ST/YORK AV,,,,,,,,0.217 LINCOLN CENTER WEST END AV CROSSTOWN,,,,,,,,,,,,,,,,,,
W 66 ST/AMSTERDAM AV,,,,,,,,,,,,,,,,,,,,,,0.275 LINCOLN CENTER WEST END AV CROSSTOWN,,,,
E 68 ST/MADISON AV,,,,0.311 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,
EAST 68 ST/YORK AV,,,,,,,,,,,,,0.081 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,
MADISON AV/E 65 ST,,,,,,,,,,,,,,,0.178 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,
E 67 ST/2 AV,,,,,,0.215 LINCOLN CENTER WEST END AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,
W 66 ST/CENTRAL PK W,,,,,,,,,,,,,,,,,,,,,,,0.23 LINCOLN CENTER WEST END AV CROSSTOWN,,,
W 66 ST/BROADWAY,,,,,,,,,,,,,,0.163 LINCOLN CENTER WEST END AV CROSSTOWN,,,,,,,,,,,,
W 65 ST/COLUMBUS AV,,,0.253 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,
W 66 ST/WEST END AV,,,,,,,,,,,,,,,,,,,,,,,,0.082 EAST SIDE YORK AV CROSSTOWN,,3.668 to depot of M66
W 66 ST/COLUMBUS AV,,,,,,,,,,,,,,,,,,,,0.108 LINCOLN CENTER WEST END AV CROSSTOWN,,,,,,
W 65 ST/WEST END AV,,,,,,,,,,,,0.276 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,
E 67 ST/MADISON AV,,,,,,,,,0.191 LINCOLN CENTER WEST END AV CROSSTOWN,,,,,,,,,,,,,,,,,
Michael J. Quill Depot (MQ),,,,,,,,,,,,,,,,,,,,,,2.664 EAST SIDE YORK AV CROSSTOWN,,,,
