,W 66 ST/FREEDOM PL,MADISON AV/E 67 ST,E 72 ST/LEXINGTON AV,E 72 ST/YORK AV,W 70 ST/FREEDOM PL,WEST END AV/WEST 70 ST,WEST END AV/W 72 ST,E 72 ST/1 AV,CENTRAL PK W/W 69 ST,5 AV/E 72 ST,W 72 ST/CENTRAL PK W,MADISON AV/E 65 ST,CENTRAL PK W/W 68 ST,W 72 ST/WEST END AV,CENTRAL PK W/W 70 ST,W 72 ST/BROADWAY,W 72 ST/COLUMBUS AV,E 65 ST/5 AV,E 72 ST/2 AV,W 70 ST/WEST END AV,W 72 ST/AMSTERDAM AV,WEST 66 ST/FREEDOM PL,E 72 ST/3 AV,5 AV/E 69 ST,E 72 ST/MADISON AV,MADISON AV/E 69 ST,5 AV/E  67 ST,CENTRAL PK W/W 67 ST,RIVERSIDE BL/W 69 ST,Michael J. Quill Depot (MQ)
W 66 ST/FREEDOM PL,,,,,,,,,,,,,,,,,,,,,,0.0 EAST SIDE YORK AV CROSSTOWN,,,,,,,,
MADISON AV/E 67 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 EAST SIDE YORK AV CROSSTOWN,,,,
E 72 ST/LEXINGTON AV,,,,,,,,,,,,,,,,,,,,,,,0.154 EAST SIDE YORK AV CROSSTOWN,,0.313 WEST SIDE FREEDOM PL CROSSTOWN,,,,,
E 72 ST/YORK AV,,,,,,,,0.216 WEST SIDE FREEDOM PL CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,
W 70 ST/FREEDOM PL,,,,,,0.123 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,
WEST END AV/WEST 70 ST,,,,,,,,,,,,,,0.169 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,,,
WEST END AV/W 72 ST,,,,,,,,,,,,,,,,,,,,0.169 WEST SIDE FREEDOM PL CROSSTOWN,,,,,,,,,,
E 72 ST/1 AV,,,,0.216 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,,0.229 WEST SIDE FREEDOM PL CROSSTOWN,,,,,,,,,,,
CENTRAL PK W/W 69 ST,,,,,,,,,,,0.246 WEST SIDE FREEDOM PL CROSSTOWN,,,,,,,,,,,,,,,,,,,
5 AV/E 72 ST,,,,,,,,,,,,,,,,,,,,,,,,0.175 WEST SIDE FREEDOM PL CROSSTOWN,,,,,,
W 72 ST/CENTRAL PK W,,,,,,,,,,,,,,,0.167 EAST SIDE YORK AV CROSSTOWN,,0.274 WEST SIDE FREEDOM PL CROSSTOWN,,,,,,,,,,,,,
MADISON AV/E 65 ST,,0.535 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK W/W 68 ST,,,,,,,,,,,,,,,,,,1.18 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,
W 72 ST/WEST END AV,,,,,,,,,,,,,,,,0.232 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,
CENTRAL PK W/W 70 ST,,,,,,,,,,,,,0.655 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,,,,
W 72 ST/BROADWAY,,,,,,,0.232 WEST SIDE FREEDOM PL CROSSTOWN,,,,,,,,,,0.314 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,
W 72 ST/COLUMBUS AV,,,,,,,,,,,0.274 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,0.272 WEST SIDE FREEDOM PL CROSSTOWN,,,,,,,,,
E 65 ST/5 AV,,,,,,,,,,,,0.215 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,,,,,
E 72 ST/2 AV,,,,,,,,0.229 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,,0.214 WEST SIDE FREEDOM PL CROSSTOWN,,,,,,,
W 70 ST/WEST END AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324 WEST SIDE FREEDOM PL CROSSTOWN,
W 72 ST/AMSTERDAM AV,,,,,,,,,,,,,,,,0.042 WEST SIDE FREEDOM PL CROSSTOWN,,,,,,,,,,,,,,
WEST 66 ST/FREEDOM PL,,,,,0.366 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,4.17 to depot of M72
E 72 ST/3 AV,,,0.154 WEST SIDE FREEDOM PL CROSSTOWN,,,,,,,,,,,,,,,,0.214 EAST SIDE YORK AV CROSSTOWN,,,,,,,,,,,
5 AV/E 69 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195 WEST SIDE FREEDOM PL CROSSTOWN,,,
E 72 ST/MADISON AV,,,0.313 EAST SIDE YORK AV CROSSTOWN,,,,,,,0.224 WEST SIDE FREEDOM PL CROSSTOWN,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 69 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.246 EAST SIDE YORK AV CROSSTOWN,,,,,
5 AV/E  67 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.012 WEST SIDE FREEDOM PL CROSSTOWN,,
CENTRAL PK W/W 67 ST,,,,,,,,,0.16 WEST SIDE FREEDOM PL CROSSTOWN,,,,,,,,,,,,,,,,,,,,,
RIVERSIDE BL/W 69 ST,0.297 WEST SIDE FREEDOM PL CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael J. Quill Depot (MQ),,,,,,,,,,,,,,,,,,,,,,2.791 EAST SIDE YORK AV CROSSTOWN,,,,,,,,
