,W 81 ST/COLUMBUS AV,E 79 ST/YORK AV,COLUMBUS AV/W 80 ST,E 79 ST/2 AV,E 79 ST/LEXINGTON AV,E 79 ST/MADISON AV,E 79 ST/EAST END AV,W 81 ST/CENTRAL PK W,W 79 ST/BROADWAY,E 79 ST/3 AV,E 79 ST TRANSVERSE/E 79 ST TRANSVERSE,YORK AV/E 79 ST,AMSTERDAM AV/W 79 ST,E 79 ST/1 AV,E 79 ST/5 AV,E 80 ST/EAST END AV,W 79 ST/RIVERSIDE DR,W 79 ST/AMSTERDAM AV,Michael J. Quill Depot (MQ)
W 81 ST/COLUMBUS AV,,,,,,,,0.22 SELECT BUS YRKVLLE EAST END AV CROSSTOWN,,,,,,,,,,,
E 79 ST/YORK AV,,,,,,,,,,,,,,0.548 SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,,,,,
COLUMBUS AV/W 80 ST,,,,,,,,,,,,,,,,,,0.361 SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,
E 79 ST/2 AV,,,,,,,,,,0.544 SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,,,,0.229 SELECT BUS YRKVLLE EAST END AV CROSSTOWN,,,,,
E 79 ST/LEXINGTON AV,,,,,,0.312 SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,,,,0.161 SELECT BUS YRKVLLE EAST END AV CROSSTOWN,,,,,,,,,
E 79 ST/MADISON AV,,,,,0.474 SELECT BUS YRKVLLE EAST END AV CROSSTOWN,,,,,,,,,,0.155 SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,,,,
E 79 ST/EAST END AV,,0.227 SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,,,,,,,,,,,,,,,,,
W 81 ST/CENTRAL PK W,,,0.299 SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,,,,,,,,1.513 SELECT BUS YRKVLLE EAST END AV CROSSTOWN,,,,,,,,
W 79 ST/BROADWAY,,,,,,,,,,,,,0.197 SELECT BUS YRKVLLE EAST END AV CROSSTOWN,,,,0.198 SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,,
E 79 ST/3 AV,,,,0.215 SELECT BUS YRKVLLE EAST END AV CROSSTOWN,0.162 SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,,,,,,,,,,,,,,
E 79 ST TRANSVERSE/E 79 ST TRANSVERSE,,,,,,,,1.029 SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,,,,,,,0.0 SELECT BUS YRKVLLE EAST END AV CROSSTOWN,,,,
YORK AV/E 79 ST,,,,,,,,,,,,,,,,0.341 SELECT BUS YRKVLLE EAST END AV CROSSTOWN,,,
AMSTERDAM AV/W 79 ST,0.456 SELECT BUS YRKVLLE EAST END AV CROSSTOWN,,,,,,,,,,,,,,,,,,
E 79 ST/1 AV,,,,0.243 SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,,,,,,,,0.188 SELECT BUS YRKVLLE EAST END AV CROSSTOWN,,,,,,,
E 79 ST/5 AV,,,,,,0.17 SELECT BUS YRKVLLE EAST END AV CROSSTOWN,,,,,0.0 SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,,,,,,,,
E 80 ST/EAST END AV,,,,,,,0.085 SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,,,,,,,,,,,,
W 79 ST/RIVERSIDE DR,,,,,,,,,0.198 SELECT BUS YRKVLLE EAST END AV CROSSTOWN,,,,,,,,,,
W 79 ST/AMSTERDAM AV,,,,,,,,,0.183 SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,,,,,,,,,,4.102 to depot of M79-SBS
Michael J. Quill Depot (MQ),,,,,,,,,,,,,,,,,,3.448 SELECT BUS W SIDE RIVERSIDE DR CROSSTOWN,
