,W 86 ST/CENTRAL PK W,1 AV/E 91 ST,YORK AV/E 91 ST,YORK AV/E 88 ST,E 86 ST/LEXINGTON AV,E 86 ST/5 AV,E 92 ST/YORK AV,W 86 ST/BROADWAY,W 86 ST/AMSTERDAM AV,YORK AV/E 86 ST,YORK AV/E 87 ST,W 86 ST/WEST END AV,E 91 ST/YORK AV,W 86 ST/COLUMBUS AV,E 86 ST/2 AV,E 86 ST/MADISON AV,E 86 ST/3 AV,E 86 ST/LEXINGTON  AV,E 86 ST/1 AV,W 86 ST/TRANSVERSE,E 84 ST/5 AV,Michael J. Quill Depot (MQ)
W 86 ST/CENTRAL PK W,,,,,,,,,,,,,,0.274 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,,,,,0.361 SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,,
1 AV/E 91 ST,,,,,,,0.244 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,,,,,,,,,,,,,,
YORK AV/E 91 ST,,,,,,,,,,,0.338 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,,,,,,,,,,
YORK AV/E 88 ST,,,,,,,,,,,,,0.2 SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,,,,,,,,,
E 86 ST/LEXINGTON AV,,,,,,,,,,,,,,,,0.309 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,,,,,
E 86 ST/5 AV,,,,,,,,,,,,,,,,,,,,1.613 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,
E 92 ST/YORK AV,,,0.122 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,,,,,,,,,,,,,,,,,,
W 86 ST/BROADWAY,,,,,,,,,0.125 SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,,,0.15 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,,,,,,,,,
W 86 ST/AMSTERDAM AV,,,,,,,,0.125 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,,,,,0.272 SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,,,,,,,,4.405 to depot of M86-SBS
YORK AV/E 86 ST,,,,0.185 SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,,,,,,,,,,,,,,,,,,
YORK AV/E 87 ST,,,,,,,,,,,,,,,,,,,0.244 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,,
W 86 ST/WEST END AV,,,,,,,,0.15 SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,,,,,,,,,,,,,,
E 91 ST/YORK AV,,0.263 SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,
W 86 ST/COLUMBUS AV,0.274 SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,,,,,,,,0.272 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,,,,,,,,,,,,
E 86 ST/2 AV,,,,,,,,,,,,,,,,,0.214 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,0.231 SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,,,
E 86 ST/MADISON AV,,,,,,0.155 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,,,,,,,,,,,0.309 SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,,,,
E 86 ST/3 AV,,,,,0.155 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,,,,,,,,,0.214 SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,,,,,,,
E 86 ST/LEXINGTON  AV,,,,,,,,,,,,,,,,,0.155 SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,,,,,
E 86 ST/1 AV,,,,,,,,,,0.261 SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,,,,,0.231 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,,,,,,
W 86 ST/TRANSVERSE,1.858 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,,,,,,,,,,,,,,,,,,,0.561 SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,
E 84 ST/5 AV,,,,,,,,,,,,,,,,0.321 SELECT BUS YORKVILLE 1AV-92 ST CROSSTOWN,,,,,,
Michael J. Quill Depot (MQ),,,,,,,,,4.024 SELECT BUS WESTSIDE WEST END AV CROSSTWN,,,,,,,,,,,,,
