,CHRISTOPHER ST/GREENWICH AV,E 9 ST/AV A,E 8 ST/UNIVERSITY PL,E 8 ST/MERCER ST,ST MARKS PL/1 AV,E 9 ST/UNIVERSITY PL,ST MARKS PL/2 AV,E 8 ST/LAFAYETTE ST,W 10 ST/WAVERLY PL,CHRISTOPHER ST/WAVERLY PL,GREENWICH ST/CHRISTOPHER ST,E 10 ST/AV A,E 10 ST/AV B,CHRISTOPHER ST/GREENWICH ST,W 10 ST/HUDSON ST,E 9 ST/BROADWAY,E 10 ST/AV C,E 9 ST/1 AV,E 9 ST/3 AV,W 8 ST/5 AV,W 9 ST/5 AV,CHRISTOPHER ST/HUDSON ST,W 10 ST/GREENWICH ST,CHRISTOPHER ST/7 AV S,WEST ST/CHRISTOPHER ST,W 10 ST/BLEECKER ST,W 8 ST/AV OF THE AMERICAS,E 9 ST/2 AV,CHRISTOPHER ST/WASHINGTON ST,W 10 ST/WASHINGTON ST,AV D/LOOP,ST MARKS PL/AV A,ST MARKS PL/3 AV,E 10 ST/AV D,W 9 ST/AV OF THE AMERICAS,CHRISTOPHER ST/BLEECKER ST,E 9 ST/4 AV,W 10 ST/7 AV S,Michael J. Quill Depot (MQ)
CHRISTOPHER ST/GREENWICH AV,,,,,,,,,,0.134 WEST ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 9 ST/AV A,,,,,,,,,,,,,,,,,,0.212 WEST ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,
E 8 ST/UNIVERSITY PL,,,,0.159 AVENUE D CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 8 ST/MERCER ST,,,,,,,,0.142 AVENUE D CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST MARKS PL/1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 AVENUE D CROSSTOWN,,,,,,,
E 9 ST/UNIVERSITY PL,,,,,,,,,,,,,,,,,,,,,0.17 WEST ST CROSSTOWN,,,,,,,,,,,,,,,,,,
ST MARKS PL/2 AV,,,,,0.229 AVENUE D CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 8 ST/LAFAYETTE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138 AVENUE D CROSSTOWN,,,,,,
W 10 ST/WAVERLY PL,,,,,,,,,,,0.886 AVENUE D CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRISTOPHER ST/WAVERLY PL,,,,,,,,,,,,,,,,,,,,,,,,0.135 WEST ST CROSSTOWN,,,,,,,,,,,,,,,
GREENWICH ST/CHRISTOPHER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.838 AVENUE D CROSSTOWN,,,,,,,,,,,,
E 10 ST/AV A,,0.075 WEST ST CROSSTOWN,,,,,,,,,,,0.224 AVENUE D CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,
E 10 ST/AV B,,,,,,,,,,,,0.224 WEST ST CROSSTOWN,,,,,0.228 AVENUE D CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,
CHRISTOPHER ST/GREENWICH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.095 WEST ST CROSSTOWN,,,,,,,,,,
W 10 ST/HUDSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.141 AVENUE D CROSSTOWN,,,,,,,,,,,,,
E 9 ST/BROADWAY,,,,,,0.217 WEST ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 10 ST/AV C,,,,,,,,,,,,,0.228 WEST ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,0.229 AVENUE D CROSSTOWN,,,,,
E 9 ST/1 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 WEST ST CROSSTOWN,,,,,,,,,,,
E 9 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098 WEST ST CROSSTOWN,,
W 8 ST/5 AV,,,0.184 AVENUE D CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 9 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259 WEST ST CROSSTOWN,,,,
CHRISTOPHER ST/HUDSON ST,,,,,,,,,,,,,,0.095 WEST ST CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,,
W 10 ST/GREENWICH ST,,,,,,,,,,,,,,,0.141 AVENUE D CROSSTOWN,,,,,,,,,,,,,,,,,,,,,,,,
CHRISTOPHER ST/7 AV S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 WEST ST CROSSTOWN,,,
