,E 97 ST/5 AV,W 96 ST/CENTRAL PK W,E 96 ST/3 AV,E 96 ST/2 AV,W 96 ST/WEST END AV,E 96 ST/5 AV,E 97 ST/1 AV,W 96 ST/COLUMBUS AV,E 96 ST/LEXINGTON AV,E 96 ST/MADISON AV,CENTRAL PK W/W 97 ST,W 96 ST/BROADWAY,W 97 ST/WEST END AV,W 96 ST/AMSTERDAM AV,Michael J. Quill Depot (MQ)
E 97 ST/5 AV,,,,,,,,,,,1.054 WEST SIDE WEST END AV CROSSTOWN,,,,
W 96 ST/CENTRAL PK W,,,,,,0.943 EAST SIDE 1 AV CROSSTOWN,,,,,,,,,
E 96 ST/3 AV,,,,0.213 EAST SIDE 1 AV CROSSTOWN,,,,,0.154 WEST SIDE WEST END AV CROSSTOWN,,,,,,
E 96 ST/2 AV,,,0.213 WEST SIDE WEST END AV CROSSTOWN,,,,0.326 EAST SIDE 1 AV CROSSTOWN,,,,,,,,
W 96 ST/WEST END AV,,,,,,,,,,,,0.181 EAST SIDE 1 AV CROSSTOWN,,,6.025 to depot of M96
E 96 ST/5 AV,,,,,,,,,,0.156 EAST SIDE 1 AV CROSSTOWN,,,,,
E 97 ST/1 AV,,,,0.315 WEST SIDE WEST END AV CROSSTOWN,,,,,,,,,,,
W 96 ST/COLUMBUS AV,,0.257 EAST SIDE 1 AV CROSSTOWN,,,,,,,,,,,,0.271 WEST SIDE WEST END AV CROSSTOWN,
E 96 ST/LEXINGTON AV,,,0.154 EAST SIDE 1 AV CROSSTOWN,,,,,,,0.311 WEST SIDE WEST END AV CROSSTOWN,,,,,
E 96 ST/MADISON AV,0.24 WEST SIDE WEST END AV CROSSTOWN,,,,,,,,0.311 EAST SIDE 1 AV CROSSTOWN,,,,,,
CENTRAL PK W/W 97 ST,,,,,,,,0.179 WEST SIDE WEST END AV CROSSTOWN,,,,,,,
W 96 ST/BROADWAY,,,,,,,,,,,,,0.267 WEST SIDE WEST END AV CROSSTOWN,0.094 EAST SIDE 1 AV CROSSTOWN,
W 97 ST/WEST END AV,,,,,0.086 WEST SIDE WEST END AV CROSSTOWN,,,,,,,,,,
W 96 ST/AMSTERDAM AV,,,,,,,,0.271 EAST SIDE 1 AV CROSSTOWN,,,,0.094 WEST SIDE WEST END AV CROSSTOWN,,,
Michael J. Quill Depot (MQ),,,,,6.071 EAST SIDE 1 AV CROSSTOWN,,,,,,,,,,
