,3 AV/E 67 ST,FT WASHINGTON AV/W 185 ST,LEXINGTON AV/E 68 ST,W 178 ST/AUDUBON AV,3 AV/E 97 ST,3 AV/E 125 ST,LEXINGTON AV/E 72 ST,3 AV/E 106 ST,3 AV/E 79 ST,LEXINGTON AV/E 106 ST,FT WASHINGTON AV/W 183 ST,W 179 ST/BROADWAY,W 179 ST/AMSTERDAM AV,W 179 ST/ST NICHOLAS AV,W 179 ST/WADSWORTH AV,3 AV/E 116 ST,FT WASHINGTON AV/W 181 ST,LEXINGTON AV/E 116 ST,PARK AV/E 125 ST,W 178 ST/BROADWAY,FT WASHINGTON AV/W 187 ST,LEXINGTON AV/E 86 ST,LEXINGTON AV/E 96 ST,3 AV/E 72 ST,3 AV/E 86 ST,FT WASHINGTON AV/CABRINI BL,LEXINGTON AV/E 79 ST,FT WASHINGTON AV/W 190 ST,W 178 ST/ST NICHOLAS AV,Michael J. Quill Depot (MQ)
3 AV/E 67 ST,,,,,,,,,,,,,,,,,,,,,,,,0.452 LIMITED WSHNGTN HTS CABRINI BL via 3 AV,,,,,,
FT WASHINGTON AV/W 185 ST,,,,,,,,,,,0.173 LIMITED MIDTOWN LEX AV-68 ST,,,,,,,,,,0.174 LIMITED WSHNGTN HTS CABRINI BL via 3 AV,,,,,,,,,
LEXINGTON AV/E 68 ST,0.605 LIMITED MIDTOWN LEX AV-68 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.272 to depot of M98
W 178 ST/AUDUBON AV,,,,,,,,,,,,,,,,,,,5.819 LIMITED MIDTOWN LEX AV-68 ST,,,,,,,,,,,
3 AV/E 97 ST,,,,,,,,0.773 LIMITED WSHNGTN HTS CABRINI BL via 3 AV,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 125 ST,,,,,,,,,,,,,5.556 LIMITED WSHNGTN HTS CABRINI BL via 3 AV,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 72 ST,,,0.36 LIMITED MIDTOWN LEX AV-68 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 106 ST,,,,,,,,,,,,,,,,1.35 LIMITED WSHNGTN HTS CABRINI BL via 3 AV,,,,,,,,,,,,,,
3 AV/E 79 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.537 LIMITED WSHNGTN HTS CABRINI BL via 3 AV,,,,,
LEXINGTON AV/E 106 ST,,,,,,,,,,,,,,,,,,,,,,,1.487 LIMITED MIDTOWN LEX AV-68 ST,,,,,,,
