,WEST THAMES ST/SOUTH END AV,PARK ROW/WORTH ST,AV C/E 5 ST,AV C/E 11 ST,AV C/E 7 ST,1 AV/E 23 ST,E HOUSTON ST/NORFOLK ST,AV C/E 6 ST,AV C/E 14 ST,SOUTH END AV/ALBANY ST,MURRAY ST/CHURCH ST,AV C/E 3 ST,AV C/E 12 ST,AV C/E 20 ST,ESSEX ST/ E BROADWAY,AVENUE C/E 23 ST,1 AV/E 26 ST,AV C/E 8 ST,E BROADWAY/MARKET ST,AV C/FDR DRIVE,PARK ROW/BEEKMAN ST,E HOUSTON ST/RIDGE ST,ESSEX ST/DELANCEY ST,PARK ROW/ST JAMES PL,MURRAY ST/GREENWICH ST,E BROADWAY/CATHERINE ST,E 20 ST/E 20 ST LOOP,WARREN ST/CHURCH ST,E 29 ST/2 AV,AV C/E 18 ST,E HOUSTON ST/AV B,E HOUSTON ST/CLINTON ST,E BROADWAY/FORSYTH ST,1 AV/E 27 ST,AV C/E 16 ST,E 23 ST/1 AV,ESSEX ST/E HOUSTON ST,E BROADWAY/PIKE ST,E 29 ST/1 AV,WARREN ST/GREENWICH ST,ESSEX ST/CANAL ST,ESSEX ST/GRAND ST,E HOUSTON ST/AV C,E 23 ST/2 AV,AV C/E 10 ST,Michael J. Quill Depot (MQ)
WEST THAMES ST/SOUTH END AV,,,,,,,,,,0.824 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK ROW/WORTH ST,,,,,,,,,,,,,,,,,,,,,1.142 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,,,,,,,,,,,,,,,
AV C/E 5 ST,,,,,0.151 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV C/E 11 ST,,,,,,,,,0.25 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV C/E 7 ST,,,,0.304 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 23 ST,,,,,,,,,,,,,,,,,0.214 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E HOUSTON ST/NORFOLK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.605 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,,,,,,,,,,,
AV C/E 6 ST,,,,,,,,,,,,0.231 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AV C/E 14 ST,,,,,,,,,,,,,0.17 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,,,,,,,,,,,,0.182 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,,,,,,,,
SOUTH END AV/ALBANY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.074 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,,,
MURRAY ST/CHURCH ST,,,,,,,,,,,,,,,,,,,,,,,,,0.144 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,,,,,,,,,,,
AV C/E 3 ST,,,0.154 KIPS BAY 1 AV - 26 ST via AVENUE C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115 BATTERY PK CITY via AVENUE C via PK ROW,,,
AV C/E 12 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 BATTERY PK CITY via AVENUE C via PK ROW,
AV C/E 20 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.482 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,,,,,,
ESSEX ST/ E BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,
AVENUE C/E 23 ST,,,,,,,,,,,,,,0.347 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 AV/E 26 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105 BATTERY PK CITY via AVENUE C via PK ROW,,,,,,,,,,,,
