Route,End point 1,End point 2,Length (miles),Length (km)
Bx1,Riverdale,Mott Haven,8.8,14.1622272
Bx10,Riverdale,Norwood,7.4,11.9091456
Bx11,Parkchester,Southern Blvd & GW Bridge,4.9,7.8857856
Bx12,Pelham Pkwy,Fordham Rd,8.1,13.0356864
Bx12-SBS,Pelham Pkwy,Fordham Rd,7.6,12.2310144
Bx13,George Washington Bridge,Yankee Stadium,4.1,6.5983104
Bx15,Fordham Plaza,The Hub,7.6,12.2310144
Bx16,Pelham,Norwood,7.4,11.9091456
Bx17,Fordham Plaza,Port Morris,5.7,9.1732608
Bx18,Morris Heights/High Bridge Circulator,,2.4,3.8624256
Bx19,NY Botanical Garden,Riverbank Park,6.8,10.9435392
Bx2,Kingsbridge Heights,Mott Haven,8,12.874752
Bx20,Riverdale,Inwood,3.7,5.9545728
Bx21,Westchester Sq,Mott Haven,6.9,11.1044736
Bx22,Bedford Park,Castle Hill,6.6,10.6216704
Bx24,Country Club,Hutchinson Metro Center,4.5,7.242048
Bx26,Co-op City Section 5,Bedford Park,6.1,9.8169984
Bx27,Clasons Pt,West Farms Rd & Southern Blvd,3.6,5.7936384
Bx28,Co-op City Section 5,Fordham Center,9.7,15.6106368
Bx29,City Island,Pelham Bay Pk Station,5.9,9.4951296
Bx3,Riverdale,George Washington Bridge,4.5,7.242048
Bx30,Co-op City Section 5,Pelham Pkwy,7.3,11.7482112
Bx31,Woodlawn,Westchester Sq,6.4,10.2998016
Bx32,Kingsbridge VA Hospital,Mott Haven,5.2,8.3685888
Bx33,Port Morris,Harlem,2.9,4.6670976
Bx34,Woodlawn,Fordham Center,3.9,6.2764416
Bx35,West Farms Rd & Jennings St,GW Bridge,4.1,6.5983104
Bx36,Soundview,George Washington Bridge,9.4,15.1278336
Bx38,Co-op City Bay Plaza,Norwood,8.8,14.1622272
Bx39,Wakefield,Clasons Pt,7.6,12.2310144
Bx4,Westchester Sq,The Hub,4.7,7.5639168
Bx40,Throgs Neck,River Park Towers,8.2,13.1966208
Bx41,Williamsbridge,The Hub,5.5,8.851392
Bx41-SBS,Williamsbridge,The Hub,5.4,8.6904576
Bx42,Throgs Neck,River Park Towers,8.6,13.8403584
Bx46,Prospect Av,Westchester Av / Hunts Point Market,2.6,4.1842944
Bx4A,Westchester Sq,Gladstone Sq,4.9,7.8857856
Bx5,Pelham Bay,West Farms Rd & Southern Blvd,7.7,12.3919488
Bx6,Hunts Point,Riverside Dr,5.8,9.3341952
Bx6-SBS,Soundview,Riverside Dr,5.8,9.3341952
Bx7,Riverdale,Washington Heights,6,9.656064
Bx8,Williamsbridge,Locust Point,8.7,14.0012928
Bx9,Riverdale,West Farms Sq,6.4,10.2998016
M100,Inwood,Manhattanville,7.3,11.7482112
B1,Bay Ridge,Manhattan Beach,6.8,10.9435392
B11,Sunset Park,Midwood,5.8,9.3341952
