ID,Timestamp,Route,Next stop,Destination,Bearing,Longitude,Latitude
13,2020-06-17T11:03:53.000-04:00,M50,E 49 ST/LEXINGTON AV,WEST SIDE 42 ST PIER CROSSTOWN,157.15297,-73.972348,40.755663
14,2020-06-17T11:03:31.000-04:00,M42,12 AV/W 42 ST,WEST SIDE PIER 12 AV CROSSTOWN,215.14867,-74.000959,40.762583
15,2020-06-17T11:03:53.000-04:00,M42,W 42 ST/9 AV,WEST SIDE PIER 12 AV CROSSTOWN,156.81914,-73.992938,40.758546
4950,2020-06-17T11:03:42.000-04:00,M60-SBS,E 125 ST/2 AV,SELECT BUS WEST SIDE BROADWAY-106 ST,48.576336,-73.927515,40.788679
13,2020-06-17T11:03:53.000-04:00,M50,E 49 ST/LEXINGTON AV,WEST SIDE 42 ST PIER CROSSTOWN,157.15297,-73.972348,40.755663
14,2020-06-17T11:04:01.000-04:00,M42,12 AV/W 42 ST,WEST SIDE PIER 12 AV CROSSTOWN,215.14867,-74.000959,40.762583
15,2020-06-17T11:03:53.000-04:00,M42,W 42 ST/9 AV,WEST SIDE PIER 12 AV CROSSTOWN,156.81914,-73.992938,40.758546
4950,2020-06-17T11:03:42.000-04:00,M60-SBS,E 125 ST/2 AV,SELECT BUS WEST SIDE BROADWAY-106 ST,48.576336,-73.927515,40.788679
13,2020-06-17T11:04:24.000-04:00,M50,E 49 ST/MADISON AV,WEST SIDE 42 ST PIER CROSSTOWN,157.1355,-73.973202,40.756024
14,2020-06-17T11:04:01.000-04:00,M42,12 AV/W 42 ST,WEST SIDE PIER 12 AV CROSSTOWN,215.14867,-74.000959,40.762583
15,2020-06-17T11:04:23.000-04:00,M42,W 42 ST/10 AV,WEST SIDE PIER 12 AV CROSSTOWN,156.716,-73.993643,40.758849
4950,2020-06-17T11:04:13.000-04:00,M60-SBS,E 125 ST/2 AV,SELECT BUS WEST SIDE BROADWAY-106 ST,43.315315,-73.923609,40.793048
13,2020-06-17T11:04:24.000-04:00,M50,E 49 ST/MADISON AV,WEST SIDE 42 ST PIER CROSSTOWN,157.1355,-73.973202,40.756024
14,2020-06-17T11:04:31.000-04:00,M42,12 AV/W 42 ST,WEST SIDE PIER 12 AV CROSSTOWN,215.14867,-74.000959,40.762583
15,2020-06-17T11:04:23.000-04:00,M42,W 42 ST/10 AV,WEST SIDE PIER 12 AV CROSSTOWN,156.716,-73.993643,40.758849
4950,2020-06-17T11:04:44.000-04:00,M60-SBS,E 125 ST/2 AV,SELECT BUS WEST SIDE BROADWAY-106 ST,48.36646,-73.919693,40.79651
13,2020-06-17T11:04:54.000-04:00,M50,E 49 ST/MADISON AV,WEST SIDE 42 ST PIER CROSSTOWN,157.01128,-73.973979,40.756354
14,2020-06-17T11:05:02.000-04:00,M42,12 AV/W 42 ST,WEST SIDE PIER 12 AV CROSSTOWN,215.14867,-74.000959,40.762583
15,2020-06-17T11:04:54.000-04:00,M42,W 42 ST/10 AV,WEST SIDE PIER 12 AV CROSSTOWN,157.24902,-73.994181,40.759078
4950,2020-06-17T11:04:44.000-04:00,M60-SBS,E 125 ST/2 AV,SELECT BUS WEST SIDE BROADWAY-106 ST,48.36646,-73.919693,40.79651
13,2020-06-17T11:04:54.000-04:00,M50,E 49 ST/MADISON AV,WEST SIDE 42 ST PIER CROSSTOWN,157.01128,-73.973979,40.756354
14,2020-06-17T11:05:02.000-04:00,M42,12 AV/W 42 ST,WEST SIDE PIER 12 AV CROSSTOWN,215.14867,-74.000959,40.762583
15,2020-06-17T11:04:54.000-04:00,M42,W 42 ST/10 AV,WEST SIDE PIER 12 AV CROSSTOWN,157.24902,-73.994181,40.759078
