ID,Make,Model,Year,Depot
3516,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2006,Baisley Park Depot (MTA Bus)
3517,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2006,Baisley Park Depot (MTA Bus)
3518,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2006,Baisley Park Depot (MTA Bus)
3519,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2006,Baisley Park Depot (MTA Bus)
3520,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2006,Baisley Park Depot (MTA Bus)
3525,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2006,Baisley Park Depot (MTA Bus)
3526,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2006,Baisley Park Depot (MTA Bus)
3527,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2006,Baisley Park Depot (MTA Bus)
3528,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2006,Baisley Park Depot (MTA Bus)
3529,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2006,Baisley Park Depot (MTA Bus)
3531,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2006,Baisley Park Depot (MTA Bus)
3535,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2006,Baisley Park Depot (MTA Bus)
3537,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2006,Baisley Park Depot (MTA Bus)
3538,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2006,Baisley Park Depot (MTA Bus)
3553,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2006,Baisley Park Depot (MTA Bus)
3630,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3631,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3658,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3674,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3676,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3680,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3682,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3686,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3689,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3694,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3697,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3698,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3699,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3703,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3747,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3757,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3761,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
3764,Daimler Buses,Orion VII 2nd Generation+ Hybrid Low Floor,2007,Baisley Park Depot (MTA Bus)
