route_id,trip_id,service_id,trip_headsign,direction_id,shape_id,drt_advance_book_min,peak_offpeak
Q12,CS_F0-Saturday-000200_Q12_1,CS_F0-Saturday,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076,0.0,0
Q28,CS_F0-Saturday-000200_Q28_1,CS_F0-Saturday,FLUSHING MAIN ST STATION,1,Q280065,0.0,0
Q44+,CS_F0-Saturday-000500_SBS44_3,CS_F0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053,0.0,0
Q44+,CS_F0-Saturday-003000_SBS44_1,CS_F0-Saturday,SELECT BUS JAMAICA via MAIN ST,1,SBS440052,0.0,0
Q12,CS_F0-Saturday-003500_Q12_1,CS_F0-Saturday,FLUSHING MAIN ST STATION via NORTHERN,1,Q120074,0.0,0
Q28,CS_F0-Saturday-004000_Q28_1,CS_F0-Saturday,BAY TERRACE BELL BL,0,Q280064,0.0,0
Q44+,CS_F0-Saturday-004500_SBS44_4,CS_F0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053,0.0,0
Q20A,CS_F0-Saturday-005000_Q20_1,CS_F0-Saturday,JAMAICA MERRICK BL via 20 AV via MAIN ST,1,Q20A0042,0.0,0
Q20A,CS_F0-Saturday-005000_Q20_2,CS_F0-Saturday,COLLEGE PT via MAIN ST via 20 AV,0,Q20A0043,0.0,0
Q44+,CS_F0-Saturday-006000_SBS44_2,CS_F0-Saturday,SELECT BUS JAMAICA via MAIN ST,1,SBS440052,0.0,0
Q12,CS_F0-Saturday-007000_Q12_1,CS_F0-Saturday,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076,0.0,0
Q32,CS_F0-Saturday-007000_Q32_X03,CS_F0-Saturday,MIDTOWN PENN STA via ROOSEVELT via 5 AV,1,Q320042,0.0,0
Q28,CS_F0-Saturday-007200_Q28_1,CS_F0-Saturday,FLUSHING MAIN ST STATION,1,Q280065,0.0,0
Q32,CS_F0-Saturday-008000_Q32_X01,CS_F0-Saturday,JACKSON HTS NORTHERN-81 ST via ROOSEVELT,0,Q320046,0.0,0
Q44+,CS_F0-Saturday-008000_SBS44_X11,CS_F0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053,0.0,0
Q44+,CS_F0-Saturday-009000_SBS44_3,CS_F0-Saturday,SELECT BUS JAMAICA via MAIN ST,1,SBS440052,0.0,0
Q44+,CS_F0-Saturday-009500_SBS44_5,CS_F0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053,0.0,0
Q28,CS_F0-Saturday-010000_Q28_1,CS_F0-Saturday,BAY TERRACE BELL BL,0,Q280064,0.0,0
Q32,CS_F0-Saturday-010000_Q32_X02,CS_F0-Saturday,JACKSON HTS NORTHERN-81 ST via ROOSEVELT,0,Q320046,0.0,0
Q12,CS_F0-Saturday-010400_Q12_1,CS_F0-Saturday,FLUSHING MAIN ST STATION via NORTHERN,1,Q120074,0.0,0
Q32,CS_F0-Saturday-010500_Q32_X04,CS_F0-Saturday,MIDTOWN PENN STA via ROOSEVELT via 5 AV,1,Q320042,0.0,0
Q20A,CS_F0-Saturday-011000_Q20_2,CS_F0-Saturday,JAMAICA MERRICK BL via 20 AV via MAIN ST,1,Q20A0042,0.0,0
Q20A,CS_F0-Saturday-011000_Q20_3,CS_F0-Saturday,COLLEGE PT via MAIN ST via 20 AV,0,Q20A0043,0.0,0
Q44+,CS_F0-Saturday-011000_SBS44_X12,CS_F0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053,0.0,0
Q32,CS_F0-Saturday-012000_Q32_X03,CS_F0-Saturday,JACKSON HTS NORTHERN-81 ST via ROOSEVELT,0,Q320046,0.0,0
Q44+,CS_F0-Saturday-012000_SBS44_4,CS_F0-Saturday,SELECT BUS JAMAICA via MAIN ST,1,SBS440052,0.0,0
Q32,CS_F0-Saturday-012500_Q32_X06,CS_F0-Saturday,MIDTOWN PENN STA via ROOSEVELT via 5 AV,1,Q320042,0.0,0
Q44+,CS_F0-Saturday-012500_SBS44_6,CS_F0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053,0.0,0
Q28,CS_F0-Saturday-013200_Q28_1,CS_F0-Saturday,FLUSHING MAIN ST STATION,1,Q280065,0.0,0
Q12,CS_F0-Saturday-013800_Q12_1,CS_F0-Saturday,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076,0.0,0
Q32,CS_F0-Saturday-014000_Q32_X05,CS_F0-Saturday,JACKSON HTS NORTHERN-81 ST via ROOSEVELT,0,Q320046,0.0,0
Q44+,CS_F0-Saturday-014000_SBS44_X13,CS_F0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053,0.0,0
Q32,CS_F0-Saturday-014500_Q32_X01,CS_F0-Saturday,MIDTOWN PENN STA via ROOSEVELT via 5 AV,1,Q320042,0.0,0
Q44+,CS_F0-Saturday-015500_SBS44_7,CS_F0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053,0.0,0
Q44+,CS_F0-Saturday-015500_SBS44_X11,CS_F0-Saturday,SELECT BUS JAMAICA via MAIN ST,1,SBS440052,0.0,0
Q28,CS_F0-Saturday-016000_Q28_2,CS_F0-Saturday,BAY TERRACE BELL BL,0,Q280064,0.0,0
Q32,CS_F0-Saturday-016000_Q32_X04,CS_F0-Saturday,JACKSON HTS NORTHERN-81 ST via ROOSEVELT,0,Q320046,0.0,0
Q32,CS_F0-Saturday-016500_Q32_X02,CS_F0-Saturday,MIDTOWN PENN STA via ROOSEVELT via 5 AV,1,Q320042,0.0,0
Q12,CS_F0-Saturday-016900_Q12_1,CS_F0-Saturday,FLUSHING MAIN ST STATION via NORTHERN,1,Q120075,0.0,0
Q20A,CS_F0-Saturday-017000_Q20_2,CS_F0-Saturday,COLLEGE PT via MAIN ST via 20 AV,0,Q20A0043,0.0,0
Q20A,CS_F0-Saturday-017000_Q20_3,CS_F0-Saturday,JAMAICA MERRICK BL via 20 AV via MAIN ST,1,Q20A0042,0.0,0
Q44+,CS_F0-Saturday-017000_SBS44_5,CS_F0-Saturday,SELECT BUS JAMAICA via MAIN ST,1,SBS440052,0.0,0
Q44+,CS_F0-Saturday-017000_SBS44_X14,CS_F0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053,0.0,0
Q32,CS_F0-Saturday-018000_Q32_X06,CS_F0-Saturday,JACKSON HTS NORTHERN-81 ST via ROOSEVELT,0,Q320046,0.0,0
Q32,CS_F0-Saturday-018500_Q32_X03,CS_F0-Saturday,MIDTOWN PENN STA via ROOSEVELT via 5 AV,1,Q320042,0.0,0
Q44+,CS_F0-Saturday-018500_SBS44_8,CS_F0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053,0.0,0
Q44+,CS_F0-Saturday-018500_SBS44_X12,CS_F0-Saturday,SELECT BUS JAMAICA via MAIN ST,1,SBS440052,0.0,0
Q28,CS_F0-Saturday-019200_Q28_2,CS_F0-Saturday,FLUSHING MAIN ST STATION,1,Q280065,0.0,0
Q12,CS_F0-Saturday-019700_Q12_2,CS_F0-Saturday,LITTLE NECK GLENWOOD ST VIA NORTHERN,0,Q120076,0.0,0
Q32,CS_F0-Saturday-020000_Q32_X01,CS_F0-Saturday,JACKSON HTS NORTHERN-81 ST via ROOSEVELT,0,Q320046,0.0,0
Q44+,CS_F0-Saturday-020000_SBS44_6,CS_F0-Saturday,SELECT BUS JAMAICA via MAIN ST,1,SBS440052,0.0,0
Q44+,CS_F0-Saturday-020000_SBS44_X15,CS_F0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053,0.0,0
Q32,CS_F0-Saturday-020500_Q32_X05,CS_F0-Saturday,MIDTOWN PENN STA via ROOSEVELT via 5 AV,1,Q320042,0.0,0
Q44+,CS_F0-Saturday-021500_SBS44_1,CS_F0-Saturday,SELECT BUS BRONX ZOO via MAIN ST,0,SBS440053,0.0,0
Q44+,CS_F0-Saturday-021500_SBS44_X13,CS_F0-Saturday,SELECT BUS JAMAICA via MAIN ST,1,SBS440052,0.0,0
Q28,CS_F0-Saturday-022000_Q28_2,CS_F0-Saturday,BAY TERRACE BELL BL,0,Q280064,0.0,0
Q32,CS_F0-Saturday-022000_Q32_X02,CS_F0-Saturday,JACKSON HTS NORTHERN-81 ST via ROOSEVELT,0,Q320046,0.0,0
Q32,CS_F0-Saturday-022500_Q32_X04,CS_F0-Saturday,MIDTOWN PENN STA via ROOSEVELT via 5 AV,1,Q320042,0.0,0
