stops,latitude,longtitude
RIVERDALE AV/W 231 ST,(40.88121, -73.90921)
W 231 ST/CORLEAR AV,(40.8804023, -73.9076512)
W 231 ST/BROADWAY,(40.878934, -73.9047946)
W 231 ST/BAILEY AV,(40.8780349, -73.9024206)
HEATH AV/ALBANY CRES,(40.8765915, -73.90265649999999)
HEATH AV/SUMMIT PL,(40.8781075, -73.9012375)
SEDGWICK AV/FT INDEPENDENCE ST,(40.8784299, -73.8981783)
SEDGWICK AV/GILES PL,(40.88092400000001, -73.896698)
SEDGWICK AV/STEVENSON PL 1,(40.882912, -73.894363)
SEDGWICK AV/STEVENSON PL 2,(40.882385, -73.892365)
SEDGWICK AV/DICKINSON AV,(40.8827115, -73.8889995)
W MOSHOLU PY S/PAUL AV,(40.8804915, -73.885956)
W MOSHOLU PY S/JEROME AV,(40.88028, -73.884125)
GRAND CONCOURSE/VAN CORTLANDT AV E,(40.8773469, -73.8852919)
GRAND CONCOURSE/E 204 ST,(40.8746511, -73.88670479999999)
GRAND CONCOURSE/BEDFORD PK BL,(40.8721527, -73.8880703)
GRAND CONCOURSE/MINERVA PL,(40.8706202, -73.8905376)
GRAND CONCOURSE/E 196 ST,(40.867877, -73.8929623)
GRAND CONCOURSE/E KINGSBRIDGE RD,(40.8659148, -73.89429439999999)
GRAND CONCOURSE/E 192 ST,(40.8642051, -73.8957293)
GRAND CONCOURSE/E FORDHAM RD,(40.8624484, -73.8973448)
GRAND CONCOURSE/E 187 ST,(40.8603415, -73.89834809999999)
GRAND CONCOURSE/FIELD PL,(40.8587122, -73.89912799999999)
GRAND CONCOURSE/E 182 ST,(40.8559963, -73.9006141)
GRAND CONCOURSE/E 181 ST,(40.8545706, -73.9018129)
GRAND CONCOURSE/E BURNSIDE AV,(40.85245920000001, -73.9035366)
GRAND CONCOURSE/E 179 ST,(40.8511514, -73.9045833)
GRAND CONCOURSE/E 177 ST,(40.84933960000001, -73.90633059999999)
GRAND CONCOURSE/MORRIS AV,(40.8472075, -73.9085618)
GRAND CONCOURSE/E 174 ST,(40.84486, -73.911552)
GRAND CONCOURSE/E MT EDEN AV,(40.8432851, -73.9119743)
GRAND CONCOURSE/E 172 ST,(40.8408723, -73.9125154)
GRAND CONCOURSE/E 170 ST,(40.8386457, -73.9137485)
GRAND CONCOURSE/E CLARKE PL,(40.8370211, -73.91551849999999)
GRAND CONCOURSE/E 167 ST,(40.834513, -73.9179575)
GRAND CONCOURSE/MC CLELLAN ST,(40.833089, -73.9188104)
GRAND CONCOURSE/E 165 ST,(40.831123, -73.920654)
GRAND CONCOURSE/E 163 ST,(40.8285341, -73.92157050000002)
GRAND CONCOURSE/E 161 ST,(40.8270172, -73.9228277)
GRAND CONCOURSE/E 158 ST,(40.8254431, -73.9235352)
GRAND CONCOURSE/E 156 ST,(40.82349670000001, -73.9245236)
GRAND CONCOURSE/E 153 ST,(40.8211462, -73.9256347)
GRAND CONCOURSE/E 149 ST,(40.8185968, -73.927234)
GRAND CONCOURSE/E 144 ST,(40.8165608, -73.9282814)
GRAND CONCOURSE/E 138 ST,(40.8133437, -73.9303311)
3 AV/E 138 ST,(40.811239, -73.9275435)
E 136 ST/LINCOLN AV,(40.80965399999999, -73.92836)
LINCOLN AV/E 137 ST,(40.809875, -73.92791)
GRAND CONCOURSE/E 169 ST,(40.8364651, -73.9160468)
GRAND CONCOURSE/MT EDEN AV,(40.8432851, -73.9119743)
GRAND CONCOURSE/CROSS BX EXP OVERPASS,(40.845253, -73.910629)
GRAND CONCOURSE/E 175 ST,(40.8468412, -73.9085584)
GRAND CONCOURSE/E TREMONT AV,(40.8494022, -73.905839)
GRAND CONCOURSE/E 180 ST,(40.8534535, -73.9025475)
GRAND CONCOURSE/E 198 ST,(40.8702554, -73.89111790000001)
GRAND CONCOURSE/E 203 ST,(40.8739882, -73.88661139999999)
GRAND CONCOURSE/E 206 ST,(40.8760024, -73.8857041)
GRAND CONCOURSE/E MOSHOLU PY S,(40.878294, -73.88488)
E MOSHOLU PY S/JEROME AV,(40.879494, -73.88559699999999)
SEDGWICK AV/HILLMAN AV,(40.8824356, -73.8915699)
SEDGWICK AV/VAN CORTLANDT AV W,(40.8827468, -73.89262459999999)
SEDGWICK AV/STEVENSON PL,(40.8828423, -73.89480010000001)
ALBANY CR/BAILEY AV,(40.8768608, -73.903443)
W 231 ST/KINGSBRIDGE AV,(40.8798142, -73.90658499999999)
W 231 ST/TIBBETT AV,(40.8808292, -73.9084089)
RIVERDALE AV/W 263 ST,(40.91237599999999, -73.902534)
RIVERDALE AV/W 261 ST,(40.9101364, -73.903224)
RIVERDALE AV/W 260 ST,(40.9086035, -73.9036295)
RIVERDALE AV/W 259 ST,(40.906551, -73.90428899999999)
RIVERDALE AV/W 256 ST,(40.904091, -73.90512799999999)
RIVERDALE AV/W 254 ST,(40.901875, -73.905869)
HENRY HUDSON PKY W/W 252 ST,(40.8993954, -73.90745799999999)
HENRY HUDSON PKY W/W 249 ST,(40.8973769, -73.9082188)
HENRY HUDSON PKY W/W 246 ST,(40.8935825, -73.908498)
HENRY HUDSON PKY W/W 239 ST,(40.8895062, -73.9090365)
HENRY HUDSON PKY W/W 237 ST,(40.88820339999999, -73.9117214)
HENRY HUDSON PKY W/W 236 ST,(40.8870881, -73.91229539999999)
HENRY HUDSON PKY W/W 232 ST,(40.8846309, -73.9148989)
HENRY HUDSON PKY/2735 HENRY HUDSON PKY,(40.8826846, -73.91658509999999)
HENRY HUDSON PKY W/W 227 ST,(40.8815005, -73.9173757)
HENRY HUDSON PKY W/INDEPENDENCE AV,(40.8808392, -73.9191025)
KAPPOCK ST/KNOLLS CRES,(40.87917179999999, -73.91672849999999)
KAPPOCK ST/JOHNSON AV,(40.8772466, -73.91779679999999)
IRWIN AV/JOHNSON AV,(40.8793526, -73.91236959999999)
W 231 ST/RIVERDALE AV,(40.88137770000001, -73.9094013)
BAILEY AV/W 233 ST,(40.8797205, -73.90106999999999)
BAILEY AV/W 238 ST,(40.883797, -73.89823899999999)
BAILEY AV/VAN CORTLANDT PK S,(40.88534200000001, -73.894798)
VAN CORTLANDT AV W/ORLOFF AV,(40.8836825, -73.8931286)
PAUL AV/W MOSHOLU PY S,(40.8804915, -73.885956)
PAUL AV/W 205 ST,(40.8769606, -73.8896477)
PAUL AV/BEDFORD PK BL,(40.874638, -73.891418)
BEDFORD PK/JEROME AV,(40.87339559999999, -73.8894179)
JEROME AV/E 205 ST,(40.87645699999999, -73.8881)
JEROME AV/E MOSHOLU PY N,(40.8800335, -73.8842585)
E GUN HILL RD/DEKALB AV,(40.88248400000001, -73.880699)
BAINBRIDGE AV/E GUN HILL RD,(40.8810784, -73.8784955)
BAINBRIDGE AV/E 210 ST,(40.87944, -73.879105)
BAINBRIDGE AV/VAN CORTLANDT AV E,(40.8768477, -73.8797195)
BAINBRIDGE AV/E 206 ST,(40.874976, -73.8794582)
E 206 ST/ROCHAMBEAU AVE,(40.8748986, -73.8804335)
E MOSHOLU PY N/VAN CORTLANDT AV E,(40.8758238, -73.88233509999999)
VAN CORTLANDT AV E/ROCHAMBEAU AV,(40.8764935, -73.8806498)
BAINBRIDGE AV/RESERVOIR OVAL E,(40.877312, -73.879677)
E GUN HILL RD/BAINBRIDGE AV,(40.8810784, -73.8784955)
E GUN HILL RD/DE KALB AV,(40.8822201, -73.8804572)
HENRY HUDSON PKY E/W 227 ST,(40.8812915, -73.9170603)
HENRY HUDSON PKY E/W 232 ST,(40.8845301, -73.91454039999999)
HENRY HUDSON PKY E/W 235 ST,(40.8861533, -73.9125207)
HENRY HUDSON PKY E/W 238 ST,(40.888565, -73.90965299999999)
HENRY HUDSON PKY E/W 239 ST,(40.889519, -73.90806599999999)
HENRY HUDSON PKY E/W 246 ST,(40.8936094, -73.9079857)
HENRY HUDSON PKY E/W 250 ST,(40.8976117, -73.9076812)
HENRY HUDSON PKY E/W 252 ST,(40.8996387, -73.9063905)
W FARMS RD/WESTCHESTER AV,(40.8249641, -73.8913694)
W FARMS RD/E 167 ST,(40.827068, -73.889633)
W FARMS RD/LONGFELLOW AV,(40.8290115, -73.8880415)
E 172 ST/LONGFELLOW AV,(40.8328578, -73.8862491)
E 172 ST/VYSE AV,(40.83343980000001, -73.8879572)
E 172 ST/SOUTHERN BL,(40.834248, -73.890182)
LOUIS NINE BL/E 170 ST,(40.8334382, -73.893087)
LOUIS NINE BL/BOSTON RD,(40.8349113, -73.8941414)
CLAREMONT PKY/CROTONA PARK E,(40.83545549999999, -73.8951266)
CLAREMONT PKY/CROTONA AV,(40.83649550000001, -73.89776599999999)
CLAREMONT PKY/3 AV,(40.8382356, -73.9011958)
CLAREMONT PKY/WASHINGTON AV,(40.8388713, -73.90264979999999)
CLAREMONT PKY/WEBSTER AV,(40.8398062, -73.9052955)
CLAY AV/E 171 ST,(40.838772, -73.90647899999999)
E 170 ST/TELLER AV,(40.83714459999999, -73.90964439999999)
E 170 ST/COLLEGE AV,(40.8375019, -73.9106036)
E 170 ST/SHERIDAN AV,(40.8384132, -73.9126605)
E 170 ST/GRAND CONCOURSE,(40.8386457, -73.9137485)
E 170 ST/WALTON AV,(40.8395644, -73.9159505)
E 170 ST/JEROME AV,(40.8402585, -73.9176806)
W 170 ST/EDWARD L. GRANT HY,(40.8403015, -73.9215584)
W 170 ST/SHAKESPEARE AV,(40.8404303, -73.9223899)
SHAKESPEARE AV/W 169 ST,(40.8392838, -73.922575)
W 168 ST/WOODYCREST AV,(40.8382073, -73.9237082)
